potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
path,n. 道路；小路；轨道
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
thinking,"n. 思考；思想；想法；意见；见解
v. 思考（think的现在分词）
adj. 思考的；思想的；有理性的；好思考的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
opportunity,n. 时机，机会
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
rise to,"un. 出人头地；在社会大显身手；满足；应付
 上升至；上升到；起而应付"
acquire,vt. 获得；取得；学到；捕获
effort,n. 努力；成就
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
make the most of,"na. 充分使用；尽量使好看；极为重视；尽量称赞
 充分利用；尽量利用；充分展示"
resource,n. 资源，财力；办法；智谋
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
facility,n. 设施；设备；容易；灵巧
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
attitude,n. 态度；看法；意见；姿势
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
well-rounded,adj. 丰满的；面面俱到的；多才多艺的；（语句）有表达力的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
responsible,adj. 负责的，可靠的；有责任的
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
look forward to,"na. 盼望
 期待；期望；期盼"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
as a result of,"na. (作)为…的结果
 由于；由于…的结果；作为…的结果"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
remind,vt. 提醒；使想起
stick to,"na. 忠于
 坚持；粘住；遵守"
proposal,n. 提议，建议；求婚
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
technique,n. 技巧，技术；手法
workshop,n. 车间；研讨会；工场；讲习班
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
poster,n. 海报，广告；招贴
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
a.m.,abbr. 上午，午前（ante meridiem）
p.m.,
biology,n. （一个地区全部的）生物；生物学
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
contribution,n. 贡献；捐献；投稿
fortunately,adv. 幸运地
over time,"conj. 随着时间的过去
 三十拉警报；随着时间的推移；久而久之"
option,n.  选项；选择权；买卖的特权
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
pudding,n. 布丁
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
calligraphy,n. 书法；笔迹
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
see eye to eye with sb.,
see eye to eye with sb. on sth.,
argument,n. 论证；论据；争吵；内容提要
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
shoot up,"na. 上冒；喷出；欣欣向荣；猛长
 暴涨；腾贵；激增"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
