barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
cigar,n. 雪茄
appointment,n. 任命；约定；任命的职位
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
scarfpin,n. 领带针，围巾夹
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
make one's fortune,发财；发迹，在社会上获得地位
lose contact, 失去联络；断讯；失讯
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
worthwhile,adj. 值得做的，值得花时间的
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
bless,vt. 祝福；保佑；赞美
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
arm in arm,"na. 臂挽着臂
 臂挽臂；手挽手；手挽手地"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
under arrest,"adv. 逮捕起来；禁闭
 被捕；被逮捕；被捕的"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
anyhow,adv. 总之；无论如何；不管怎样
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
legal,adj. 法律的；合法的；法定的；依照法律的
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
decent,adj. 正派的；得体的；相当好的
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
geophysicist,n.  地球物理学者
core,
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
superb,adj. 极好的；华丽的；宏伟的
photographer,n. 摄影师；照相师
guilty,adj. 有罪的；内疚的
ashamed,adj. 惭愧的，感到难为情的；耻于……的
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
nephew,n. 侄子；外甥
disappointed,adj. 失望的，沮丧的；受挫折的
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
at the mercy of sb.,
at the mercy of sth.,
likewise,adv. 同样地；也
deadline,n. 截止期限，最后期限
guidance,n. 指导，引导；领导
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
virtue,n. 美德；优点；贞操；功效
integrity,n. 完整；正直；诚实；廉正
organic,adj.  有机的；组织的；器官的；根本的
starfish,n. 海星
discouraged,"v. 劝阻（discourage的过去分词）；使失去勇气
adj. 气馁的"
garbage,n. 垃圾；废物
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
bonus,n. 奖金；红利；额外津贴
weigh on sb.,
weigh on sth.,
jade,"n. 翡翠； 碧玉；老马
adj. 玉制的；绿玉色的
vt. 使疲倦
vi. 疲倦"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
feedback,n. 反馈；成果，资料；回复
competent,adj. 胜任的；有能力的；能干的；足够的
obtain,"vi. 获得；流行
vt. 获得"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
enterprise,n. 企业；事业；进取心；事业心
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
friction,n. 摩擦， 摩擦力
