boy,n. 男孩；男人
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
woman,n. 妇女；女性；成年女子
pupil,n. 学生； 瞳孔；未成年人
teacher,n. 教师；导师
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
aunt,n. 阿姨；姑妈；伯母；舅妈
bus,"n. 公共汽车
乘公共汽车"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
panda,n. 熊猫；猫熊
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
grandpa,n. 爷爷；外公
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandma,n. 奶奶；外婆
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
cousin,n. 堂兄弟姊妹；表兄弟姊妹
coat,"n. 外套
vt. 覆盖…的表面"
shirt,n. 衬衫；汗衫，内衣
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
T-shirt,n. 短袖圆领汗衫
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
juice,n. （水果）汁，液；果汁
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
ice-cream,"a. 冰淇淋的, 乳白色的"
play football,"na. 踢足球；对难办的事采取踢皮球的态度
 玩足球；玩橄榄球；踢球"
play basketball, 打篮球；玩篮球；篮球锻炼知多少
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
thirteen,"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的"
fourteen,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪"
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
and,conj. 和，与；就；而且；但是；然后
And you?,
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
 好吧；好的；行"
aunt,n. 阿姨；姑妈；伯母；舅妈
basketball,n. 篮球；篮球运动
boy,n. 男孩；男人
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
bus,"n. 公共汽车
乘公共汽车"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
can't,abbr. 不能（can not）
can not, 不了；不能；不得
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
children,n. 孩子们（child的复数）
Class is over.,
clothes,n. 衣服
coat,"n. 外套
vt. 覆盖…的表面"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
fourteen,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪"
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
good evening,"int. （晚上见面时用语）晚上好
 晚安；傍晚好；大家晚上好"
good night,"un. 连夜；告辞；晚上好
 晚安；好夜晚；道晚安"
grandpa,n. 爷爷；外公
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandma,n. 奶奶；外婆
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
he's,abbr. 他是（he is）；他有（he has）
he is, 他是；他比我大两岁；通常为形容词
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
ice-cream,"a. 冰淇淋的, 乳白色的"
idea,n. 想法；主意；概念
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
juice,n. （水果）汁，液；果汁
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
just right," 恰好, 正好; 不失毫厘; 不差毫发; 初写黄庭"
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
let's,让我们（let us的简写）
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
panda,n. 熊猫；猫熊
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
play basketball, 打篮球；玩篮球；篮球锻炼知多少
play football,"na. 踢足球；对难办的事采取踢皮球的态度
 玩足球；玩橄榄球；踢球"
pupil,n. 学生； 瞳孔；未成年人
put on,"na. 假话
 穿上；上演；戴上"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
school,"n. 学校；学院；学派；鱼群
vt. 教育"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
she's,abbr. 她是（she is）；她有（she has）
she is,
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
shirt,n. 衬衫；汗衫，内衣
