visited the Great Wall,
went to the zoo,
did homework, 做家庭作业；过去做作业；做作业
played football,
had a party,
sang and danced,
ate and drank,
read books, 读书；看书；阅读
wrote emails,
had a fever,
had a headache,
had a cold,"vbl.伤风,感冒"
had a cough,
took care of his mum,
made the bed,
cleaned the room,
cooked a meal,
pick fruits,
hurt animals,
climb trees,
step on the grass,
run a red light, 闯红灯；抢红灯
light a fire, 点火；生火；烧火
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
mountain,n. 山；山脉
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
tennis player, 网球选手；网球运动员；网球手
artist,n. 艺术家；美术家（尤指画家）；大师
writer,n. 作家；作者
driver,n. 驾驶员；驱动程序；起子；传动器
farmer,n. 农夫，农民
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
worker,n. 工人；劳动者；职蚁
scientist,n. 科学家
helpful,adj. 有帮助的；有益的
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
honest,adj. 诚实的，实在的；可靠的；坦率的
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
artist,n. 艺术家；美术家（尤指画家）；大师
because,conj. 因为
become,"vt. 适合；相称
vi. 成为；变得；变成"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
climb trees,
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
driver,n. 驾驶员；驱动程序；起子；传动器
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
farmer,n. 农夫，农民
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
finally,adv. 最后；终于；决定性地
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
go to the zoo,
happen,vi. 发生；碰巧；偶然遇到
headache,n. 头痛；麻烦；令人头痛之事
helpful,adj. 有帮助的；有益的
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
honest,adj. 诚实的，实在的；可靠的；坦率的
have a cold,"na. 伤风
 感冒；患感冒；受凉"
have a cough,"v. 咳嗽
 患咳嗽；有咳嗽；感冒"
have a fever,"n. 发烧
 发热；发烧了；发高烧"
have a headache, 头痛；头疼；患头痛
have a party, 聚会；举行晚会；开聚会
homework,n. 家庭作业，课外作业
hurt animals,
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
journey,"n. 旅行；行程
vi. 旅行"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
last Sunday,
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
light a fire, 点火；生火；烧火
many,"pron. 许多；许多人
adj. 许多的"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
mountain,n. 山；山脉
make the bed, 铺床；整理床铺；整理被物
never,adv. 从未；决不
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
primary school,"n. 小学
 本村小学；小学教育；小学组"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
play football,"na. 踢足球；对难办的事采取踢皮球的态度
 玩足球；玩橄榄球；踢球"
pick fruits,
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
read a book, 看书；读书；读一本书
run a red light, 闯红灯；抢红灯
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
scientist,n. 科学家
should,aux. 应该；就；可能；将要
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
soon,adv. 快；不久，一会儿；立刻；宁愿
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
step on the grass,
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
them,pron. 他们；它们；她们
tennis player, 网球选手；网球运动员；网球手
turn into,"v. 变成
 成为；把……变成；变为"
