birthday,n. 生日，诞辰；诞生的日子
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
for you, 为你; 面向你; 献给你
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
what about,"un. 不；…怎样
 怎么样；如何；怎麽样"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
yes,"n. 是（表示肯定）
adv. 是, 是的"
can't,abbr. 不能（can not）
cannot,v. 不能；无法
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
don't,"n. 禁忌（等于do not）
aux. 表示否定（等于do not）"
do not,
early,"adj. 早期的；早熟的
adv. 提早；在初期"
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
