anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
famous,adj. 著名的；极好的，非常令人满意的
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
the Yangtze River,
go back,"na. “Come back”的变体；回来；追溯到；回顾
 回去；返回；回到"
made,"adj. 成功的；创造的
v. 做，使，安排（make的过去式和过去分词）"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
Ice and Snow Festival,
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
lesson,"n. 教训；课
vt. 教训；上课"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
soon,adv. 快；不久，一会儿；立刻；宁愿
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
headache,n. 头痛；麻烦；令人头痛之事
have a cold,"na. 伤风
 感冒；患感冒；受凉"
toothache,n.  牙痛
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
must,"aux. 必须，一定；可以，应当；很可能
n. 绝对必要的事物；未发酵葡萄汁"
mustn't,must not 之缩写
must not, 不能；不准；一定不能
a lot of,"det. 许多
 大量；很多；大量的"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
street,"n. 街道
adj. 街道的"
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
restaurant,n. 餐馆； 饭店
farmer,n. 农夫，农民
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
worker,n. 工人；劳动者；职蚁
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
police officer,"n. 警官；警察；警务人员
 警员；交警；警察官"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
dancer,n. 舞蹈家；舞蹈演员；舞女；跳舞者
singer,n. 歌手，歌唱家
true,"n. 真实；准确
adj. 真实的；正确的
vt. 装准
adv. 真实地；准确地"
driver,n. 驾驶员；驱动程序；起子；传动器
scientist,n. 科学家
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
middle school,"n. 初中；（英国为 9 到 13 岁儿童所设的）中间学校
 中学；初级中学；第一中学"
teachers' office,
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
physics,n. 物理学；物理现象
lab,n. 实验室，研究室
chemistry,n. 化学；化学过程
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
Edison,n. 爱迪生（美国发明家）
inventor,n. 发明家； 发明人；创造者
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
history,n. 历史，历史学；历史记录；来历
geography,n. 地理；地形
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
year book,"n. 年鉴
 年刊；毕业留念册；年历"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
information,n. 信息，资料；知识；情报；通知
gave,v. 给予（give的过去式）
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
