see,"vi. 看；看见；领会
vt. 看见；理解；领会"
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
our,pron. 我们的
classroom,n. 教室
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
look at,"na. 看；考虑
 看着；注视；瞧"
blackboard,n. 黑板
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
tiger,n. 老虎；凶暴的人
isn't,不是（等于is not）
is not,
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
from,prep. 来自，从；由于；今后
school,"n. 学校；学院；学派；鱼群
vt. 教育"
playground,n. 运动场，操场；游乐场
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
computer,n. 计算机；电脑；电子计算机
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
library,n. 图书馆，藏书室；文库
have,"aux. 已经
vt. 有；让；拿；从事；允许"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
dear,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀"
thirteen,"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的"
