feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
happy,adj. 幸福的；高兴的；巧妙的
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
go out to play,
snowman,n. 雪人
make a snowman, 堆雪人；做雪人；堆一个雪人
why,"int. 哎呀！什么？
adv. 为什么"
because,conj. 因为
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
a little,"n. 一点
 一些；少许；有点"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
plant trees, 种树；植树；植树造林
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
ride a bike, 骑自行车；骑车；骑单车
Tree Planting Day,
interesting,adj. 有趣的；引起兴趣的，令人关注的
March,
April,n. 四月
May,
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
go swimming,"na. 去游泳
 去钓鱼；去做某事；定期游泳"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
begin,"vi. 开始；首先
vt. 开始"
from,prep. 来自，从；由于；今后
January,n. 一月
February,n. 二月
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
July,n. 七月
August,
September,n. 九月
October,n.  十月
November,n. 十一月
December,n. 十二月
