rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
landlord,n. 房东，老板；地主
landlady,n. 女房东；女地主；女店主
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
house agency,
location,n. 位置（形容词locational）；地点；外景拍摄场地
city centre, 市中心；城市中心；城中心
suburb,n. 郊区；边缘
outskirts,n. 市郊，郊区
countryside,n. 农村，乡下；乡下的全体居民
rural area,"un. 郊区；农村地区；农业区
 乡村；乡郊地区；乡村地区"
village,n. 村庄；村民；（动物的）群落
southern,"n. 南方人
adj. 南的；南方的"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
district,n. 区域；地方；行政区
postcode,n. （英）邮政编码；邮区号
neighbourhood,n. 邻近；周围；邻居关系；附近一带
community,n. 社区； 群落；共同体；团体
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
property,n. 性质，性能；财产；所有权
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
dorm,n. 宿舍（等于dormitory）
halls of residence, 学生宿舍；大学宿舍楼；学生公寓
motel,n. 汽车旅馆
guest house,"n. 小旅馆；（大房子旁供客人居住的）客房
 宾馆；招待所；民宿"
youth hostel,"n. 青年招待所
 青年旅馆；青年旅舍；青年旅社"
host family, 寄宿家庭；接待家庭；东道家庭
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
double bedroom,(公寓、住房等中的)双人卧室(能放一张双人床)
bedsit,"n. 卧室兼起居室
vt. 租用卧室兼起居室"
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
cloakroom,n. 衣帽间；寄物处；（英）盥洗室
basement,n. 地下室；地窖
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
roommate,n. 室友
facility,n. 设施；设备；容易；灵巧
furniture,n. 家具；设备；储藏物
decoration,n. 装饰，装潢；装饰品；奖章
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cupboard,n. 碗柜；食橱
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
cooker,n. 炊具；烹饪用水果；窜改者
fridge,n. 电冰箱
freezer,n. 冰箱；冷冻库；制冷工
washing machine,"n. 洗衣机
 洗涤机；清洗机；求购洗衣机"
air conditioning,"n. 空气调节系统
 空调；空调系统；冷气"
electric fan,"na. 电风扇
 电扇；电动风机；电动风扇"
