abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abolish,vt. 废除，废止；取消，革除
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
agreement,n. 协议；同意，一致
alignment,n. 队列，成直线；校准；结盟
allegiance,n. 效忠，忠诚；忠贞
alliance,n. 联盟，联合；联姻
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
anonymous,adj. 匿名的，无名的；无个性特征的
antagonism,n. 对抗，敌对；对立；敌意
approval,n. 批准；认可；赞成
authoritative,adj. 有权威的；命令式的；当局的
authorize,vt. 批准，认可；授权给；委托代替
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
bureau,n. 局，处；衣柜；办公桌
bureaucracy,n. 官僚主义；官僚机构；官僚政治
cameral,adj. 有关立法或司法机构之一院的
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
commissioner,n. 理事；委员；行政长官；总裁
committee,n. 委员会
comply,vi. 遵守；顺从，遵从；答应
confidential,adj. 机密的；表示信任的；获信任的
consonant,"n. 辅音；辅音字母
adj. 辅音的；一致的；和谐的"
conspicuous,adj. 显著的；显而易见的
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constrain,vt. 驱使；强迫；束缚
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
convention,n. 大会； 惯例； 约定； 协定；习俗
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
democracy,n. 民主，民主主义；民主政治
demography,n. 人口统计学
deputy,"n. 代理人，代表
adj. 副的；代理的"
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
distribute,vt. 分配；散布；分开；把…分类
domain,n. 领域；域名；产业；地产
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
embassy,n. 大使馆；大使馆全体人员
emperor,n. 皇帝，君主
empower,vt. 授权，允许；使能够
enable,vt. 使能够，使成为可能；授予权利或方法
