unit,n. 单位，单元；装置； 部队；部件
bridging unit,
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
other,"adj. 其他的，另外的
pron. 另外一个"
each other,"pron. 彼此
 互相；相互；各自"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
Ms,
oh,int. 哦；哎呀（表示惊讶或恐惧等）
everyone,"n. 每个人
pron. 每个人；人人"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
Helen,
Ella,
Emma,
Peter,
Brown,
PRC,abbr. 中华人民共和国（People's Republic of China）
PLA,abbr. 中国人民解放军（Chinese People's Liberation Army）；原生质树脂活动（plasma resin activity）
VR,
WHO,
UN,abbr. 联合国（United Nations）；硝酸铀铣（Uranyl Nitrate）
Miller,
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
eraser,n. 橡皮；擦除器； 清除器
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
thing,n. 事情；东西；事物；情况
pair,"n. 一对，一双，一副
vt. 把…组成一对"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
You're welcome.,
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
carrot,"n. 胡萝卜
诱饵"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
geese,n. 鹅（goose复数）
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
sheep,n. 羊，绵羊；胆小鬼
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
else,"adj. 别的；其他的
adv. 其他；否则；另外"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
look at,"na. 看；考虑
 看着；注视；瞧"
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
make friends, 交朋友；交友；结交朋友
get to know,"v. 逐渐了解
 认识；开始了解；结识"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
full name,"na. (连名带姓的)全名
 姓名；全称；名字"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
last name,"n. 姓
 姓氏；你身份证上的姓氏；你的姓"
classmate,n. 同班同学
class teacher, 班主任；班导师；老师
first name,"n. 名字
 姓；你的名；姓氏"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
or,conj. 或，或者；还是
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
a lot,"n. 许多
adv. 常
 很多；非常；大量"
tofu,n. 豆腐
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
tennis,n. 网球（运动）
hour,n. 小时；钟头；课时；…点钟
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
hey,"n. 干草（等于hay）
int. 喂！（引起注意等）；你好！（表示问候）"
play the guitar, 弹吉他；弹吉它；谈吉他
would,"aux. 将，将要；愿意
v. will的过去式"
would like to,"v. 将乐意
 想要；愿意；想做"
'd like to,
information,n. 信息，资料；知识；情报；通知
hobby,n. 嗜好；业余爱好
re,"prep. 再，重新
abbr. 修订版（revised edition）；回复，答复（reply）"
Green,
UK,"n. 英国
abbr. 联合王国（United Kingdom）"
US,
Smith,
Lisa,
Tom,
hot pot,"na. 马铃薯炖牛肉
 火锅；火锅类；煲仔类"
Sally,
Wood,
Sydney,
Australia,n. 澳大利亚，澳洲
Mapo tofu,
Beijing roast duck,
Singapore,n. 新加坡
Pauline,"n. 波林（女子名）；圣保罗学校的学生
adj. 使徒圣保罗的"
Lee,
Coco,
London,n. 伦敦
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
husband,"n. 丈夫
vt. 节约地使用（或管理）"
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
ping-pong bat,
play ping-pong,
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
every day,"na. 每日
 每天；每一天；天天"
fishing rod,"n. 钓竿
 鱼竿；钓鱼竿；钓杆"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
a lot of,"det. 许多
 大量；很多；大量的"
lots of,"adj. 许多；很多
 大量；大量的；许多的"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
member,n. 成员；会员；议员
activity,n. 活动；行动；活跃
chess,n. 国际象棋，西洋棋
Chinese chess,"n. 象棋
 中国象棋；棋路-中国象棋；棋路之中国象棋"
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
different,adj. 不同的；个别的，与众不同的
violin,n. 小提琴；小提琴手
have fun,"na. 作乐
 玩得开心；玩得高兴；玩的开心"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
knee,"n. 膝盖，膝
vt. 用膝盖碰"
always,adv. 永远，一直；总是；常常
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
at night,"na. 在黄昏时候；晚上
 在晚上；在夜里；在夜间"
in the middle, 在中间；在中部；夹在中间
grandchild,n. 孙子；孙女；外孙；外孙女
grandchildren,n. 孙子；孙（女），外孙（女）( grandchild的名词复数 )
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
go hiking, 去远足；去徒步旅行；去徒步远足
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
David,
Jim,
Kate,
Lily,
Ireland,n. 爱尔兰
Fred,
Sam,
Jane,
Jack,
Sarah,n. 莎拉（女子名）；萨拉（《圣经》中的人物）
Oscar,n. （美）奥斯卡金像奖；钱；奥斯卡（男子名）
Lucy,
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
dining hall,"na. 大餐厅
 食堂；饭厅；饭堂"
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
across,"prep. 穿过；横穿
adv. 横过；在对面"
across from,"na. 在…的正对面
 在……的对面；在……对面；在……对过"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
gym,n. 健身房；体育；体育馆
gymnasium,n. 体育馆；健身房
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
sports field,"un. 体育设施
 运动场；操场；体育场"
office,n. 办公室；政府机关；官职；营业处
between,"prep. 在…之间
adv. 在中间"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
Mrs,n. 太太；夫人（用于已婚妇女姓名前的尊称）
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
blackboard,n. 黑板
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
whiteboard,n. 白色书写板
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
important,adj. 重要的，重大的；有地位的；有权力的
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
at the back, 后面；背后；在后面
