classmate,n. 同班同学
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
PE,abbr. 体育课，体能训练（physical education）
today,"n. 今天；现今
adv. 今天；现今"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
science,n. 科学；技术；学科；理科
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
maths,n. 数学（等于mathematics）
computer studies, 计算机课程；电脑；电脑学习
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
thing,n. 事情；东西；事物；情况
often,adv. 常常，时常
basketball,n. 篮球；篮球运动
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
piano,n. 钢琴
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
hobby,n. 嗜好；业余爱好
paper cutting,"n. 剪纸(艺术)
 中国的剪纸艺术；窗花剪纸；剪纸作品"
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
aunt,n. 阿姨；姑妈；伯母；舅妈
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
Wednesday,n. 星期三
Tuesday,n. 星期二
Friday,n. 星期五
Monday,n. 星期一
Thursday,n. 星期四
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
hurry up,"na. 催促；赶快
 快点；赶紧；匆匆完成"
Saturday,n. 星期六
Sunday,n. 星期日；礼拜日
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
T-shirt,n. 短袖圆领汗衫
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
what about,"un. 不；…怎样
 怎么样；如何；怎麽样"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
hill,n. 小山；丘陵；斜坡；山冈
cloudy,adj. 多云的；阴天的；愁容满面的
windy,adj. 多风的，有风的；腹胀的；吹牛的
put on,"na. 假话
 穿上；上演；戴上"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
dad,n. 爸爸；爹爹
raincoat,n. （美）雨衣
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
shall,aux. 应；会；将；必须
can't,abbr. 不能（can not）
can not, 不了；不能；不得
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
has,v. 有，吃，得到，从事，允许，雇用，享有（have的第三人称单数）；（亲属关系中）接受；拿；买到
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
parent,n. 父亲（或母亲）；父母亲；根源
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
businessman,n. 商人
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
hospital,n. 医院
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
gardener,n. 园丁；花匠；园艺家
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
may,aux. 可以，能够；可能，也许；祝，愿；会，能
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
 等一等；坚持住；等一下"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
do some training,
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
email,"n. 电子信函
vt. 给…发电子邮件"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
everyone,"n. 每个人
pron. 每个人；人人"
winner,n. 胜利者
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
long jump,"n. 跳远
 长跳；长跳转；长转移"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
high jump,"n. 跳高
 高跳；跳远；高台跳高"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
