foods,n.  食品
food intake,"un. 食物摄入
 食物摄取；食物摄取量；进食"
food chain,"n. 食物链
 食品链；海洋食物链；事物链"
food containers,
food supply,"un. 食品供应；养分供应
 食物供应；食物供给；食品供给"
fresh food, 新鲜食物；新鲜食品；鲜美的食物
frozen food,"na. 冰冻食品
 冷冻食品；速冻食品；冷藏食品"
preparing food,
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
meals,"n. 膳食；谷类（meal的复数）
v. 进餐（meal的三单形式）"
evening meals,
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
dinner,n. 晚餐，晚宴；宴会；正餐
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
starvation,n. 饿死；挨饿；绝食
low nutrition,
restaurant,n. 餐馆； 饭店
catering,"n. 给养；承办酒席；提供饮食及服务
v. 备办食物（cater的ing形式）"
takeaway,"n. 外卖食品；外卖餐馆
adj. 外卖的；外吃的"
picnic,"n. 野餐
vi. 去野餐"
eating patterns, 饮食习惯；饮食模式；进食模式
tastes,"n.  味道，品味（taste的复数形式）
v. 体会，尝（taste的三单形式）"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
odour,n. 气味；声誉
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
ingredients,n. 材料；佐料
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
olive oil,"n. 橄榄油（用于烹饪和凉拌色拉）
 橄榄果油；冷压橄榄油；橄揽油"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
sweetener,n. 甜料；好处；脱硫设备
antiseptic,"n. 防腐剂，抗菌剂
adj. 防腐的，抗菌的；非常整洁的"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
kitchen,n. 厨房；炊具；炊事人员
kitchen area, 厨房区域；厨房区域，注意连读；美食街
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
cooking,"n. 烹饪
adj. 烹调的
v. 烹调；筹划（cook的ing形式）"
cookers,n. 炊具，锅，炉灶( cooker的名词复数 )
cookery,n. 烹调术；烹调业
shelf,n. 架子；搁板；搁板状物；暗礁
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
lids,abbr. 入侵检测系统（Linux Intrusion Detection System）
overfill,v. 把…装得溢出
container,n. 集装箱；容器
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
tanks,"n.  坦克；贮水池；大容器（tank的复数）
v. 把…储在容器；打败；乘坦克行进（tank的三单形式）"
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
boiler,n. 锅炉；烧水壶，热水器；盛热水器
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
pottery,n. 陶器；陶器厂；陶器制造术
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
axe,"n. 斧
vt. 削减；用斧砍"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
long stick, 长棍；长棍子；长码尺
brushes,"n. 刷子（brush的复数）；画笔
vt. 刷（brush的第三人称单数）"
plates,n. 盘子（plate的复数）；板材； 平板
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
ovens,n. 烤箱（oven的复数形式）
microwave,n. 微波
double-grill,
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
fireplaces,n. 壁炉( fireplace的名词复数 )
firewood,n. 柴火；木柴
fireworks,"n. 烟火, 激烈争论
 焰火"
fire blanket,"un. 消防毯；灭火毯；燃烧层
 灭火毡；防火毯；供应灭火毯"
fire drill,"n. 消防演习
 消防训练；火警演习；防火演习"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
gas tanks,"un. 汽车上的油箱；煤气罐；储气罐；气柜
 瓦斯槽；煤气坦克"
natural gas,"n. 天然气
 天然瓦斯；天然煤气；天燃气"
fridge,n. 电冰箱
freezer,n. 冰箱；冷冻库；制冷工
dishwasher,n. 洗碗工；洗碟机
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
grind flour,
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
potatoes,n.  土豆（potato的复数形式）； 马铃薯
carrots,n.  胡萝卜；红萝卜（carrot的复数形式）
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
meat,n. 肉，肉类（食用）
meat,n. 肉，肉类（食用）
fresh meat,"un. 鲜肉
 新生六居客；新鲜肉类；新鲜的肉"
seafood,n. 海鲜；海味；海产食品
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
eggs,n.  蛋（egg的复数形式）；鸡蛋
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
fruit tree,"n. 果树
 果木；果树苗木；果怡"
fruit cake,"n. 干果蛋糕；怪人；疯子
 水果蛋糕；干果牛油蛋糕；传统水果蛋糕"
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
coconut,n. 椰子；椰子肉
bananas,n.  香蕉（banana的复数形式）
lemon,"adj. 柠檬色的
n. 柠檬"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
tomatoes,n. 蕃茄（tomato的复数形式）
cakes,n.  蛋糕（cake的复数）
fishcake,鱼饼（由鱼肉拌土豆泥煎成）
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
pizza boxes, 求购披萨盒子；纸包装和纸板包装；纸盒
boxes,"n. 小木箱, 盒子"
sandwiches,"n.  三明治；夹在一起的东西（sandwich的复数）
v. 把…做成三明治；将…夹在中间（sandwich的第三人称单数）"
vegetable burger,
salads,n. 色拉（salad的复数形式）
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
snacks,"n.  小吃；快餐；零嘴（snack的复数）
v. 吃快餐；斗嘴（snack的三单形式）"
high energy snack,
refreshments,n. 点心； 茶点；小吃
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
nuts,"adj. 发狂的；热衷的；狂热的
int. 胡说；呸
n. 坚果；螺母（nut的复数）；核心
v. 采坚果；用头撞（nut的三单形式）"
organic,adj.  有机的；组织的；器官的；根本的
nutrition,n. 营养，营养学；营养品
protein,"n. 蛋白质；朊
adj. 蛋白质的"
vitamin A,un. 维生素A；视黄醇；抗干眼醇；肝黄质
drinks,n. 饮料，饮品；喝酒（drink复数）
drink milk, 喝牛奶；喝奶；喝牛奶饮料
drinks and snacks,
free drink,
drinking,"n. 喝，饮；喝酒
v. 饮（drink的ing形式）；喝"
drinking machines,
bottle water,
spring water,"na. 泉水
 春水；矿泉水；春泉"
juice,n. （水果）汁，液；果汁
fruit juice,"na. 果子汁
 果汁；水果汁；什果汁"
juice bottles,
apple juice,"un. 苹果汁
 鲜榨苹果汁；苹果原汁；苹果多汁"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
beer,"n. 啤酒
vi. 喝啤酒"
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
ice pack,"n. 冰袋（用于受伤等部位降温）
 大块浮冰群；冰敷；冰包"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
cafe,n. 咖啡馆；小餐馆
coffee,n. 咖啡；咖啡豆；咖啡色
coffee table,"n. 茶几；咖啡桌
 咖啡台；矮茶几；一个咖啡桌"
