considerable,adj. 相当大的；重要的，值得考虑的
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
much,"adv. 非常，很
adj. 大量的
n. 许多，大量
pron. 许多，大量"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
detect,vt. 察觉；发现；探测
undetected,adj. 未被发现的；未检测到的
detectable,adj. 可检测的；可发觉的
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
civilisation,n. （英）文明（等于civilization）
bicker,"n. 吵嘴；口角；（水的）潺潺声
vi. 闪动；斗嘴；潺潺而流"
brawl,"n. 争吵；打架
vt. 大声喊出；为…争吵
vi. 争吵；打架；大喊大叫"
contention,n. 争论，争辩；争夺；论点
contentious,adj. 诉讼的；有异议的，引起争论的；爱争论的
controversial,adj. 有争议的；有争论的
controversy,n. 争论；论战；辩论
controvert,"vt. 驳斥；就…展开争论
vi. 争论；辩论"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
debatable,adj. 成问题的；可争论的；未决定的
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
disagreement,n. 不一致；争论；意见不同
disprove,vt. 反驳，证明…是虚假的
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
dissentious,adj. 好争论的，争吵的
eloquence,n. 口才；雄辩；雄辩术；修辞
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
gainsay,"n. 否认；反对
vt. 反驳；否定"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
rebut,"n. 驳回；提出反证
vt. 反驳；揭露；拒绝
vi. 反驳；揭露"
refute,vt. 反驳，驳斥；驳倒
rejoinder,n. 反驳；回答；（被告的） 第二次答辩
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
squabble,"n. 争吵；口角
vt. 弄乱（排好的铅字）
vi. 发生口角；大声争吵"
tiff,"n. 淡酒；一口；口角；生气
vt. 啜；饮
vi. 生气；小争吵"
wrangle,"n. 争论；吵嘴
vt. 争论；争吵；辩驳
vi. 争论；争吵"
dweller,n. 居民，居住者
evolution,n. 演变；进化论；进展
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
cull,"n. 剔出来杀掉的动物；拣出的等外品
vt. 精选；采集（鲜花等）；剔除"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
habitable,adj. 可居住的；适于居住的
humidity,n.  湿度；湿气
inhospitable,adj. 荒凉的；冷淡的，不好客的；不适居留的
inorganic,adj.  无机的；无生物的
lander,n. 着陆器；出铁槽；把钩工人
manned space flight,"na. 载人太空飞行
 载人航天；载人航天飞行；载人航天壮举"
microbial,adj. 微生物的；由细菌引起的
orbiter,n. 人造卫星；盘旋物
