overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
syndrome,n.  综合症状；并发症状；校验子；并发位
provoke,vt. 驱使；激怒；煽动；惹起
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
pop,abbr. 卖点广告（Point of Purchase）
fiscal,adj. 会计的，财政的；国库的
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
pregnant,adj. 怀孕的；富有意义的
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
occupy,vt. 占据，占领；居住；使忙碌
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
reluctance,n.  磁阻；勉强；不情愿
intrinsically,adv. 本质地；内在地；固有地
succession,n. 连续；继位；继承权； 演替
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
payout,n. 支出；花费
accurately,adv. 精确地，准确地
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
mutually,adv. 互相地；互助
bottled,adj. 瓶装的
decade,n. 十年，十年期；十
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
possibility,n. 可能性；可能发生的事物
grassland,n. 草原；牧草地
stimulus,n. 刺激；激励；刺激物
civilisation,n. （英）文明（等于civilization）
civilization,n. 文明；文化
unremarked,"adj. 未被注意的
未被注意的"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
correspondent,n. 通讯记者；客户；通信者；代理商行
unintentional,adj. 非故意的；无意识的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
await,vt. 等候，等待；期待
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
high-risk,adj. 高危险度的
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
gram,n. 克；鹰嘴豆（用作饲料）
gramme,n. 克
clear-cut,adj. 清晰的；轮廓鲜明的
blog,n. 博客；部落格；网络日志
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
ambiguous,adj. 模糊不清的；引起歧义的
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
envision,vt. 想象；预想
gravitate,vi. 受引力作用；被吸引
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
variant,"n. 变体；转化
adj. 不同的；多样的"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
prone,adj. 俯卧的；有…倾向的，易于…的
aftermath,n. 后果；余波
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
output,"n. 输出，输出量；产量；出产
vt. 输出"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
inventory,n. 存货，存货清单；详细目录；财产清册
