accuse of,"un. 控告
 指责；指控；因某事控告某人"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
act on,"na. “Act upon”的变体
 按照…而行动；对…起作用；按照…行动"
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
adapt,"vi. 适应
vt. 使适应；改编"
add to,"na. 增加
 增添；增进；添加"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
adhere to,"v. 坚持；依附
 遵守；附着；粘着"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
aim for,"un. 力求；以…为最终目的
 力争；瞄准；以…为目标"
apply to,"v. 应用于
 适用；适用于；应用到"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
approve of,"na. 赞成
 赞同；同意；赞赏，同意"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
arise from,"v. 从…而得的
 由…引起；起因于；由…产生"
arise,vi. 出现；上升；起立
a bit of,"na. 一点儿
 少量；少量的；有一点儿"
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
access to, 接近；进入；通向…的入口
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible to, 易接近的；可归属的；可得到的可归因的
accessible,adj. 易接近的；可进入的；可理解的
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accountable to, 对…负责；向……负责；政府倾向
accountable,adj. 有责任的；有解释义务的；可解释的
agreeable to,欣然同意的；适合的，适宜的；遵照，顺从，依从；赞同(提议等)
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
anything but,"na. 决不是；除…外什么都
 除…以外任何事；一点也不；绝不"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
as a means of, 以资；作为…的方法；作为…的工具
as a result,"adv. 结果
 因此；结果是；作为结果"
as a result of,"na. (作)为…的结果
 由于；由于…的结果；作为…的结果"
as far as,"na. 远到；就；尽；至于
 远至；直到；就…而言"
as for,"na. 至于
 关于；就…而言；对于"
as to,"na. 至于；说到
 关于；如此……以便；关于至于"
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
as usual,"adv. 照常；照例
 像往常一样；像平常一样；和往常一样"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
at all,"na. 全然；究竟
 根本；一点也不；丝毫"
at all costs,"na. 无论如何
 不惜任何代价；不惜一切代价；不惜代价"
at large,"na. 随便；拉杂地
 逍遥法外；在逃；未被捕获的"
at length,"na. 最后；充分地
 详细地；终于；终于，最终"
length,n. 长度，长；时间的长短；（语）音长
at odds with,"adj. 相抗争于
 与…不一致；与…不和；差异"
odds,n. 几率；胜算；不平等；差别
at risk,"un. 担风险
 有危险；在危险中；处于危险中"
at stake,"na. 被赌着；在危险中；利害攸关
 利害攸关；危如累卵；在危急关头"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
at the end of,"na. 在…末端；在…的结尾
 在……的尽头；在……的末尾；在…结尾"
at times,"na. 时时
 有时；有时候；时常"
abide by,"na. 坚持；服从
 遵守；信守；遵循"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
act for,"na. 代理
 代表；代为；律师代表他的客户"
