state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
statement,n. 声明；陈述，叙述；报表，清单
statesman,n. 政治家；国务活动家
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
specify,vt. 指定；详细说明；列举；把…列入说明书
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
interpretation,n. 解释；翻译；演出
interpret,"vi. 解释；翻译
vt. 说明；口译"
misinterpretation,n. 误解；误释
explanation,n. 说明，解释；辩解
explanatory,adj. 解释的；说明的
exemplify,vt. 例证；例示
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
suggestion,n. 建议；示意；微量，细微的迹象
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
recommendation,n. 推荐；建议；推荐信
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
proposal,n. 提议，建议；求婚
convince,vt. 说服；使确信，使信服
convincing,"v. 使相信；使明白（convince的现在分词）
adj. 令人信服的；有说服力的"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
persuasive,adj. 有说服力的；劝诱的，劝说的
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
solution,n. 解决方案；溶液；溶解；解答
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
administration,n. 管理；行政；实施；行政机构
cope,"n. 长袍
vi. 处理；对付；竞争"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
supervision,n. 监督，管理
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
regulate,vt. 调节，规定；控制；校准；有系统的管理
regulator,n. 调整者；监管者；校准器
regulatory,adj. 管理的；控制的；调整的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
require,vt. 需要；要求；命令
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
claimant,n. 原告； 索赔人；提出要求者
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
assert,vt. 维护，坚持；断言；主张；声称
assertion,n. 断言，声明；主张，要求；坚持；认定
request,"n. 请求；需要
vt. 要求，请求"
affirm,"vt. 肯定；断言
vi. 确认；断言"
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
measurable,adj. 可测量的；重要的；重大的
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
statistic,"n. 统计数值
adj. 统计的，统计学的"
statistical,adj. 统计的；统计学的
statistician,n. 统计学家，统计员
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
communication,n. 通讯， 通信；交流；信函
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
expressive,adj. 表现的；有表现力的；表达…的
response,n. 响应；反应；回答
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
interaction,"n. 相互作用； 交互作用
n. 互动"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interactivity, 相互作用
conservation,n. 保存，保持；保护
feedback,n. 反馈；成果，资料；回复
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
interpersonal,adj. 人际的；人与人之间的
correspondence,n. 通信；一致；相当
correspond,vi. 符合，一致；相应；通信
protect,vt. 保护，防卫；警戒
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
prevention,n. 预防；阻止；妨碍
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
insecurity,n. 不安全；不牢靠；无把握；心神不定
insurance,n. 保险；保险费；保险契约；赔偿金
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
bless,vt. 祝福；保佑；赞美
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
delivery,n.  交付；分娩；递送
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
convey,vt. 传达；运输；让与
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
migration,n. 迁移；移民；移动
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
transition,n. 过渡；转变； 转换；变调
journey,"n. 旅行；行程
vi. 旅行"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
carrier,n.  载体；运送者；带菌者；货架
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
transportation,n. 运输；运输系统；运输工具；流放
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
mobility,n. 移动性；机动性； 迁移率
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
supposed,"v. 假定（suppose的过去分词）
adj. 假定的；被信以为真的；想象上的"
infer,"vi. 推断；作出推论
vt. 推断；推论"
inference,n. 推理；推论；推断
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
assumption,n. 假定；设想；担任；采取
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
speculate,"vi. 推测；投机；思索
vt. 推断"
hypothesis,n. 假设
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
motivate,vt. 刺激；使有动机；激发…的积极性
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
contributory,"n. 捐助者；贡献人
adj. 捐助的；贡献的；有助于…的"
propel,vt. 推进；驱使；激励；驱策
define,vt. 定义；使明确；规定
definition,n. 定义； 清晰度；解说
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identifiable,adj. 可辨认的；可认明的；可证明是同一的
identity,n. 身份；同一性，一致；特性；恒等式
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
determinism,n.  决定论
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
announcement,n. 公告；宣告；发表；通告
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
publication,n. 出版；出版物；发表
publicize,vt. 宣传；公布
publicity,n. 宣传，宣扬；公开；广告；注意
advertisement,n. 广告，宣传
advertiser,n. 广告客户；刊登广告的人
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observation,n. 观察；监视；观察报告
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
behavior,n. 行为，举止；态度；反应
behavioral,adj. 行为的
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
manner,n. 方式；习惯；种类；规矩；风俗
performance,n. 性能；绩效；表演；执行；表现
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensory,adj. 感觉的；知觉的；传递感觉的
conscious,adj. 意识到的；故意的；神志清醒的
consciousness,n. 意识；知觉；觉悟；感觉
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
detect,vt. 察觉；发现；探测
detector,n. 探测器；检测器；发现者；侦察器
cognitive,adj. 认知的，认识的
comprehension,n. 理解；包含
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
ownership,n. 所有权；物主身份
property,n. 性质，性能；财产；所有权
possession,n. 拥有；财产；领地；自制；着迷
monopoly,n. 垄断；垄断者；专卖权
occupy,vt. 占据，占领；居住；使忙碌
occupation,n. 职业；占有；消遣；占有期
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
consideration,n. 考虑；原因；关心；报酬
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
deduce,vt. 推论，推断；演绎出
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
create,vt. 创造，创作；造成
innovation,n. 创新，革新；新方法
innovative,adj. 革新的，创新的；新颖的；有创新精神的
formulate,vt. 规划；用公式表示；明确地表达
formulation,n. 构想，规划；公式化；简洁陈述
invent,vt. 发明；创造；虚构
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
productivity,n. 生产力；生产率；生产能力
generate,vt. 使形成；发生；生殖；产生物理反应
generative,adj. 生殖的；生产的；有生殖力的；有生产力的
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
manufacturer,n. 制造商； 厂商
