beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
New South Wales,找不到解释
soon,adv. 快；不久，一会儿；立刻；宁愿
summer holiday,"n. 暑假
 夏日的么么茶；夏日假期；夏日的麽麽茶"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
take photos, 照相；拍照；拍照片
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
the UK,（等于the United Kingdom）英国
umbrella,n. 雨伞；保护伞；庇护；伞形结构
whose,pron. 谁的（疑问代词）
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
come in,"na. 进入；当选；上台；(党派)组阁
 进来；请进；流行起来"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
driver,n. 驾驶员；驱动程序；起子；传动器
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
farmer,n. 农夫，农民
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
granny,n. 奶奶；外婆；婆婆妈妈的人
introduce,vt. 介绍；引进；提出；采用
Little Red Riding Hood, 小红帽；小红帽的故事；小红帽·格林童话
member,n. 成员；会员；议员
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
role,n. 角色；任务
run away,"na. 私奔；逃；弄不好
 逃跑；逃走；跑开"
scene,n. 场面；情景；景象；事件
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
these,"adj. 这些的
pron. 这些"
walk off,"na. 离开；用走路来消散；带走
 走开；通过散步来消化；离开工作"
woods,"n.  树林；森林；木头（wood的复数）
v. 供以木材；用森林覆盖（wood的第三人称单数）"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
worker,n. 工人；劳动者；职蚁
always,adv. 永远，一直；总是；常常
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
because,conj. 因为
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
darling,n. 心爱的人；亲爱的
dollar,n. 美元
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
everywhere,"n. 每个地方
adv. 到处"
friendship,n. 友谊；友爱；友善
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
luck,"n. 运气；幸运；带来好运的东西
vi. 靠运气，走运；凑巧碰上"
