dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
opportunity,n. 时机，机会
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
confront,vt. 面对；遭遇；比较
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
disappoint,vt. 使失望
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
appear,vi. 出现；显得；似乎；出庭；登场
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
disadvantage,n. 缺点；不利条件；损失
weakness,n. 弱点；软弱；嗜好
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
effort,n. 努力；成就
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
infect,vt. 感染，传染
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
strength,n. 力量；力气；兵力；长处
virtue,n. 美德；优点；贞操；功效
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
cancer, 巨蟹座
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
disaster,n. 灾难，灾祸；不幸
earthquake,n. 地震；大动荡
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
exist,vi. 存在；生存；生活；继续存在
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
besides,"prep. 除…之外
adv. 此外；而且"
addition,n. 添加； 加法；增加物
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
union,n. 联盟，协会；工会；联合
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
universe,n. 宇宙；世界；领域
global,adj. 全球的；总体的；球形的
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
university,n. 大学；综合性大学；大学校舍
college,n. 大学；学院；学会
academy,n. 学院；研究院；学会；专科院校
campus,n. （大学）校园；大学，大学生活；校园内的草地
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
apartment,n. 公寓；房间
department,n. 部；部门；系；科；局
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
element,n. 元素；要素；原理；成分；自然环境
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
faculty,n. 科，系；能力；全体教员
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
distribute,vt. 分配；散布；分开；把…分类
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
excellent,adj. 卓越的；极好的；杰出的
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
diligent,adj. 勤勉的；用功的，费尽心血的
distinct,adj. 明显的；独特的；清楚的；有区别的
