foolish,adj. 愚蠢的；傻的
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
commencement,n. 开始，发端；毕业典礼
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
calligraphy,n. 书法；笔迹
practical,adj. 实际的；实用性的
application,n. 应用；申请；应用程序；敷用
typography,n. 排印； 活版印刷术；印刷格式
backwards,adv. 倒；向后；逆
somehow,adv. 以某种方法；莫名其妙地
loss,n. 减少；亏损；失败；遗失
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
remarkable,adj. 卓越的；非凡的；值得注意的
convince,vt. 说服；使确信，使信服
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
someday,adv. 有一天，有朝一日
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
cancer, 巨蟹座
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
curable,adj. 可治愈的；可医治的；可矫正的
surgery,n. 外科；外科手术；手术室；诊疗室
thankfully,adv. 感谢地；感激地
limited,"adj. 有限的
n. 高级快车"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
publication,n. 出版；出版物；发表
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
anew,adv. 重新；再
dawn on, （白昼）来临于（某处）; 给（某处）以光明; 逐渐（被人）知晓; 明白
start over, 重新开始；重新来过；从头开始
be diagnosed with, 被诊断为；被诊断出；被诊断为什么病
live through,"na. 度过
 经受住；经受过；经历过"
Reed College,找不到解释
Macintosh,n. 苹果公司生产的一种型号的计算机；Apple公司于1984年推出的一种系列微机；麦金托什机
Woz,找不到解释
Apple,找不到解释
NeXT,找不到解释
Whole Earth Catalog,找不到解释
malaria,n.  疟疾；瘴气
path,n. 道路；小路；轨道
physiology,n. 生理学；生理机能
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
academy,n. 学院；研究院；学会；专科院校
treatment,n. 治疗，疗法；处理；对待
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
widespread,adj. 普遍的，广泛的；分布广的
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
summarise,vt. 总结，概述
collection,n. 采集，聚集； 征收；收藏品；募捐
anti-malarial, 抗疟疾药
dynasty,n. 王朝，朝代
wormwood,n.  苦艾；苦恼，苦恼的原因
persistence,n. 持续；固执；存留；坚持不懈；毅力
artemisinin, Arteannuin
conclusive,adj. 决定性的；最后的；确实的；确定性的
moment,n. 片刻，瞬间，时刻；重要，契机
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
researcher,n. 研究员
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
passionate,adj. 热情的；热烈的，激昂的；易怒的
commitment,n. 承诺，保证；委托；承担义务；献身
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
worthwhile,adj. 值得做的，值得花时间的
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
Tu Youyou,找不到解释
Nobel Prize in Physiology or Medicine,找不到解释
Book of Songs,找不到解释
Peking University,"n. 北京大学；北大
 中国北京大学；汇文大学；北京大学国外考试考试中心"
China Academy of Traditional Chinese Medicine,找不到解释
Chinese Medicine,找不到解释
Ge Hong,葛洪
Eastern Jin,找不到解释
Africa,n. 非洲
Asia,n. 亚洲
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
talent,n. 才能；天才；天资
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
