academy,n. 学院；研究院；学会；专科院校
acquaint,vt. 使熟悉；使认识
acquire,vt. 获得；取得；学到；捕获
admission,n. 承认；入场费；进入许可；坦白；录用
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
analysis,n. 分析；分解；验定
appraise,vt. 评价，鉴定；估价
assiduous,adj. 刻苦的，勤勉的
attendance,n. 出席；到场；出席人数；考勤
aviation,n. 航空；飞行术；飞机制造业
categorize,vt. 分类
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
classify,vt. 分类；分等
comprehend,vt. 理解；包含；由…组成
comprehensible,adj. 可理解的
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
confer,"vt. 授予；给予
vi. 协商"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
credentials,"n.  证书；文凭；信任状（credential的复数）
v. 得到信用；授…以证书（credential的三单形式）"
credibility,n. 可信性；确实性
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
deduce,vt. 推论，推断；演绎出
define,vt. 定义；使明确；规定
delimit,vt. 划界；定界限
detour,"n. 绕道；便道
vt. 使…绕道而行
vi. 绕道；迂回"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
didactic,adj. 说教的；教诲的
digress,vi. 离题；走向岔道
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
dynamics,n. 动力学，力学
endow,vt. 赋予；捐赠；天生具有
enlighten,vt. 启发，启蒙；教导，开导；照耀
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
faculty,n. 科，系；能力；全体教员
flunk,"n. 不及格；失败
vt. 使…不及格
vi. 失败；放弃；考试不及格"
fraction,n. 分数；部分；小部分；稍微
genius,n. 天才，天赋；精神
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
inculcate,vt. 教育；谆谆教诲；教授；反覆灌输
instinct,"n. 本能，直觉；天性
adj. 充满着的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
instruct,vt. 指导；通知；命令；教授
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligent,adj. 智能的；聪明的；理解力强的
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
literate,"adj. 受过教育的；精通文学的
n. 学者"
obtain,"vi. 获得；流行
vt. 获得"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
pedantic,adj. 迂腐的；学究式的；卖弄学问的；假装学者的
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persistent,adj. 固执的，坚持的；持久稳固的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
procure,"vt. 获得，取得；导致
vi. 取得"
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
rehearsal,n. 排演；预演；练习；训练；叙述
rehearse,"vt. 排练；预演
vi. 排练；演习"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
seminar,n. 讨论会，研讨班
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
tangent,"n.  切线， 正切
adj. 切线的，相切的；接触的；离题的"
thesis,n. 论文；论点
absentee,"n. 缺席者
缺席投票的
缺席的"
academician,n. 院士；大学生；学会会员；大学教师
aerodynamics,n.  气体力学； 航空动力学
aesthetics,n. 美学；美的哲学
anthropology,"n. 人类学
人类学家"
antilogarithm,n. 逆对数； 反对数；真数
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
astrology,n. 占星术；占星学；星座
astrophysics,n. 天体物理学
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
biochemistry,"n. 生物化学
生物化学过程"
biotechnology,n.  生物技术； 生物工艺学
