gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
disappointed,adj. 失望的，沮丧的；受挫折的
superb,adj. 极好的；华丽的；宏伟的
ecology,n. 生态学；社会生态学
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
quantity,n. 量，数量；大量；总量
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
departure,n. 离开；出发；违背
athletic,adj. 运动的，运动员的；体格健壮的
committee,n. 委员会
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
exit,"n. 出口，通道；退场
vi. 退出；离去"
punctuation,n. 标点；标点符号
statistics,n. 统计；统计学； 统计资料
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
standpoint,n. 立场；观点
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
create,vt. 创造，创作；造成
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
comedy,n. 喜剧；喜剧性；有趣的事情
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
introduce,vt. 介绍；引进；提出；采用
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
