chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
blackboard,n. 黑板
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
door,n. 门；家，户；门口；通道
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
car,n. 汽车；车厢
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
noodles,n. 面条，挂面（noodle的复数形式)
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
and,conj. 和，与；就；而且；但是；然后
juice,n. （水果）汁，液；果汁
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
thirsty,adj. 口渴的，口干的；渴望的，热望的
thanks,"n. 谢谢（只用复数）
int. 谢谢"
shirt,n. 衬衫；汗衫，内衣
T-shirt,n. 短袖圆领汗衫
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
socks,n. 袜子（sock的复数）
shorts,n. 短裤
your,pron. 你的，你们的
