realistic,adj. 现实的；现实主义的；逼真的；实在论的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
sculptor,n. 雕刻家
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
faith,n. 信仰；信念；信任；忠实
faithfully,adv. 忠实地；如实地；诚心诚意地；深信着地
consequently,adv. 因此；结果；所以
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
typical,adj. 典型的；特有的；象征性的
evident,adj. 明显的；明白的
Giotto di Bondone,乔托（意大利文艺复兴初期的画家和雕塑家）
renaissance,n. 文艺复兴（欧洲14至17世纪）
the Renaissance, 文艺复兴；文艺复兴时期；文艺复兴运动
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
humanistic,adj. 人文主义的；人道主义的
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
possession,n. 拥有；财产；领地；自制；着迷
superb,adj. 极好的；华丽的；宏伟的
perspective,"n. 观点；远景；透视图
adj. 透视的"
technique,n. 技巧，技术；手法
Masaccio,n. 马萨乔（意大利画家）
coincidence,n. 巧合；一致；同时发生
by coincidence,"adv. 刚巧
 碰巧；由于巧合；巧合的是"
masterpiece,n. 杰作；绝无仅有的人
impressionism,n. 印象派，印象主义
impressionist,n. 印象主义者；印象派作家
post-impressionist,找不到解释
a great deal,"na. 很多
 大量；许多；大量的"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
ridiculous,adj. 可笑的；荒谬的
controversial,adj. 有争议的；有争论的
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
critic,n. 批评家，评论家；爱挑剔的人
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
Mona Lisa,"na. 蒙娜丽莎
 蒙娜莉莎；蒙那丽莎；蒙娜丽沙"
Leonardo da Vinci,"(达)芬奇(1452-1519, 意大利文艺复兴时期伟大画家, 雕刻家, 建筑学家)"
