spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
primarily,adv. 首先；主要地，根本上
setback,n. 挫折；退步；逆流
restrain,vt. 抑制，控制；约束；制止
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
maintain,vt. 维持；继续；维修；主张；供养
define,vt. 定义；使明确；规定
harmony,n. 协调；和睦；融洽；调和
arrogant,adj. 自大的，傲慢的
afford,vt. 给予，提供；买得起
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
paradise,"n. 天堂
至福境地"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
merely,adv. 仅仅，只不过；只是
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
decent,adj. 正派的；得体的；相当好的
recipe,n. 食谱； 处方；秘诀；烹饪法
premier,"n. 总理，首相
adj. 第一的；最初的"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
propel,vt. 推进；驱使；激励；驱策
authorize,vt. 批准，认可；授权给；委托代替
instruct,vt. 指导；通知；命令；教授
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
genuine,adj. 真实的，真正的；诚恳的
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
proceedings,n. 诉讼；行动（proceeding的复数形式）；会议记录；议程
consensus,n. 一致；舆论；合意
artery,n. 动脉；干道；主流
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
calorie,n. 卡路里（热量单位）
accommodation,n. 住处，膳宿；调节；和解；预订铺位
