resemble,vt. 类似，像
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
trait,n. 特性，特点；品质；少许
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
underlie,vt. 成为……的基础；位于……之下
ignore,vt. 驳回诉讼；忽视；不理睬
fertiliser,n. 化肥（等于fertilizer）
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
and,conj. 和，与；就；而且；但是；然后
rather than,"na. 而不
 而不是；宁愿；与其"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
diversity,n. 多样性；差异
detect,vt. 察觉；发现；探测
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
avoid,vt. 避免；避开，躲避；消除
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
adapt to,"na. 使(自己行动)配合(同伴)
 适应；适应，适合；使适应"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
criteria,n. 标准，条件（criterion的复数）
curriculum,"n. 课程
总课程"
feasible,adj. 可行的；可能的；可实行的
constrain,vt. 驱使；强迫；束缚
deficiency,n. 缺陷，缺点；缺乏；不足的数额
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
analyze,vt. 对…进行分析，分解（等于analyse）
emphasize,vt. 强调，着重
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
imitate,vt. 模仿，仿效；仿造，仿制
impair,vt. 损害；削弱；减少
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
convention,n. 大会； 惯例； 约定； 协定；习俗
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
beneficial,adj. 有益的，有利的；可享利益的
chronic,adj. 慢性的；长期的；习惯性的
conscious,adj. 意识到的；故意的；神志清醒的
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
immunity,n. 免疫力；豁免权；免除
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
secrete,vt. 藏匿；私下侵吞；分泌
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
magnetic,adj. 地磁的；有磁性的；有吸引力的
loss,n. 减少；亏损；失败；遗失
option,n.  选项；选择权；买卖的特权
prefer to,"un. 较喜欢；宁愿:
 更喜欢；宁可；倾向于"
priority,n. 优先；优先权； 优先次序；优先考虑的事
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
quantity,n. 量，数量；大量；总量
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
sophisticate,"n. 久经世故的人；精通者
vt. 弄复杂；使变得世故；曲解
vi. 诡辩"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
unexpectedly,adv. 出乎意料地，意外地
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
expertise,n. 专门知识；专门技术；专家的意见
faculty,n. 科，系；能力；全体教员
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
dynamics,n. 动力学，力学
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
mortality,n. 死亡数，死亡率；必死性，必死的命运
peripheral,"adj. 外围的；次要的；（神经）末梢区域的
n. 外部设备"
vicinity,n. 邻近，附近；近处
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
bacteria,n.  细菌
be subject to,"un. 给；降伏；受…支配；受…影响
 受支配；服从；应受"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
innate,adj. 先天的；固有的；与生俱来的
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
therapy,n. 治疗，疗法
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
confidential,adj. 机密的；表示信任的；获信任的
cognitive,adj. 认知的，认识的
comply with,"v. 遵守
 遵从；依从；服从"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
