day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
week,n. 周，星期
Wednesday,n. 星期三
Thursday,n. 星期四
Monday,n. 星期一
Sunday,n. 星期日；礼拜日
Tuesday,n. 星期二
Friday,n. 星期五
Saturday,n. 星期六
today,"n. 今天；现今
adv. 今天；现今"
every,adj. 每一的，每个的；每隔…的
diary,n. 日志，日记；日记簿
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
... o'clock,找不到解释
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
early,"adj. 早期的；早熟的
adv. 提早；在初期"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
afternoon,n. 午后，下午
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
morning,n. 早晨；黎明；初期
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
him,pron. 他（宾格）
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
always,adv. 永远，一直；总是；常常
often,adv. 常常，时常
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
sometimes,adv. 有时，间或
meat,n. 肉，肉类（食用）
newspaper,"n. 报纸
报社
旧报纸"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
never,adv. 从未；决不
activity,n. 活动；行动；活跃
museum,n. 博物馆
dinosaur,n. 恐龙；过时、落伍的人或事物
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
shall,aux. 应；会；将；必须
let's,让我们（let us的简写）
homework,n. 家庭作业，课外作业
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
by bus,"na. 乘公共汽车
 巴士；乘公交车；乘坐公共汽车"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
by bike, 骑自行车；骑车；骑单车
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
by car,"na. 乘电车；乘汽车
 坐小汽车；乘小汽车；开车"
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
by taxi, 乘出租车；坐出租车；打的
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
rainy,adj. 下雨的；多雨的
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
cloudy,adj. 多云的；阴天的；愁容满面的
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
weather report,"na. 气象通报；天气预报
 天气报告；气象报告；气象报告乐团"
scared,"v. 使害怕（scare的过去分词）
adj. 害怕的"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
windy,adj. 多风的，有风的；腹胀的；吹牛的
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
coat,"n. 外套
vt. 覆盖…的表面"
sunglasses,n. 太阳镜；凸透镜（sunglass的复数）
