opera,n. 歌剧；歌剧院；歌剧团
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
performance,n. 性能；绩效；表演；执行；表现
exhibition,n. 展览，显示；展览会；展览品
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
comedy,n. 喜剧；喜剧性；有趣的事情
calligraphy,n. 书法；笔迹
performer,n. 演出者；执行者；演奏者
talented,adj. 有才能的；多才的
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
atmosphere,n. 气氛；大气；空气
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
uplifting,adj. 令人振奋的；使人开心的
masterpiece,n. 杰作；绝无仅有的人
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
starry,adj. 布满星星的；闪闪发光的；星光照耀的；星形的
mentally,adv. 精神上，智力上；心理上
massive,adj. 大量的；巨大的，厚重的；魁伟的
beneath,"prep. 在…之下
adv. 在下方"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
failure,n. 失败；故障；失败者；破产
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
let out a scream,找不到解释
viewer,n. 观察者；观看者；观众； 指示器
burning,"n. 燃烧
adj. 燃烧的；强烈的；发热的
vi. 燃烧（burn的现在分词）"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
empire,n. 帝国；帝王统治，君权
scene,n. 场面；情景；景象；事件
mysterious,adj. 神秘的；不可思议的；难解的
visual,adj. 视觉的，视力的；栩栩如生的
reaction,n. 反应，感应；反动，复古；反作用
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
emotion,n. 情感；情绪
acrobatics,n. 杂技；巧妙手法
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
carriage,n. 运输；运费；四轮马车；举止；客车厢
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
aspect,n. 方面；方向；形势；外貌
orchestra,n. 管弦乐队；乐队演奏处
genius,n. 天才，天赋；精神
symphony,n. 交响乐；谐声，和声
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
composer,n. 作曲家；作家，著作者；设计者
piano,n. 钢琴
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
backstage,adv. 在后台；向后台
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
conductor,n. 导体；售票员；领导者；管理人
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
not hesitate to do sth.,找不到解释
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
take charge of,"na. 看守
 负责；担任；主管"
joyous,adj. 令人高兴的；充满欢乐的（等于joyful）
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
broad smile, 笑容
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
advertisement,n. 广告，宣传
youth,n. 青年；青春；年轻；青少年时期
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
martial,adj. 军事的；战争的；尚武的
martial arts,n. 武术（指功夫、柔道、空手道等）; 武术，技击( martial art的名词复数 ); 把式
madam,n. 夫人；女士；鸨母
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
currently,adv. 当前；一般地
acceptable,adj. 可接受的；合意的；可忍受的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
faithfully,adv. 忠实地；如实地；诚心诚意地；深信着地
expressive,adj. 表现的；有表现力的；表达…的
artistic,adj. 艺术的；风雅的；有美感的
extensively,adv. 广阔地；广大地
symbolism,n. 象征，象征主义；符号论；记号
sculptor,n. 雕刻家
admiration,n. 钦佩；赞赏；羡慕；赞美
best-selling,"n. 畅销品
adj. 最畅销的；畅销作品的"
permission,n. 允许，许可
threatening,"v. 威胁；恐吓；迫近（threaten的ing形式）
adj. 危险的；胁迫的；凶兆的"
messy,adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
punishable,adj. 可罚的；该罚的
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
ocean,n. 海洋；大量；广阔
smog,n. 烟雾
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
global,adj. 全球的；总体的；球形的
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
extinction,n. 灭绝；消失；消灭；废止
solution,n. 解决方案；溶液；溶解；解答
electricity,n. 电力；电流；强烈的紧张情绪
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
do my part for sth.,找不到解释
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
bothered,adj. 烦（恼）的；感到讨厌的
not be bothered to do sth.,找不到解释
just-me-ism,找不到解释
gallon,n. 加仑（容量单位）
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
 行动起来；采取措施；实施行动"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
chimpanzee,n.  黑猩猩
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
foundation,n. 基础；地基；基金会；根据；创立
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
all around the world, 全世界；世界各地；在世界上
wag,"n. 摇摆；爱说笑打趣的人
vt. 摇摆；摇动；饶舌
vi. 摆动；喋喋不休；蹒跚而行"
involve,vt. 包含；牵涉；使陷于；潜心于
poster,n. 海报，广告；招贴
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
pm,找不到解释
organiser,n. 组织者；发起人；形成体（等于organizer）
union,n. 联盟，协会；工会；联合
contented,"v. 使…满足；使…安心（content的过去式和过去分词）
adj. 满足的；心安的"
occur,vi. 发生；出现；存在
make sb.'s dream come true,找不到解释
agriculture,n. 农业；农耕；农业生产；农艺，农学
proposal,n. 提议，建议；求婚
region,n. 地区；范围；部位
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
survival,n. 幸存，残存；幸存者，残存物
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
headstone,n. 基石；墓石
overcome,"vt. 克服；胜过
vi. 克服；得胜"
determination,n. 决心；果断；测定
work through,"un. 急救；推敲；过…关；贯穿
 通过……工作；完成；修通"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
county,n. 郡，县
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
parking,"n. 停车
adj. 停车的
v. 停车（park的ing形式）"
therefore,adv. 因此；所以
path,n. 道路；小路；轨道
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
tracking,"n. 追踪，跟踪
v. 跟踪（track的ing形式）"
destination,n. 目的地，终点
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
attitude,n. 态度；看法；意见；姿势
diagram,"n. 图表；图解
vt. 用图解法表示"
percentage,n. 百分比；百分率，百分数
take part,"na. 参与；参加
 参加课后俱乐部；参加运动会等；有参加"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
cut back on, 缩减；减少；削减，缩减
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
packaging,"n. 包装；包装业，包装风格
v. 包装（package的ing形式）"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
container,n. 集装箱；容器
majority,n. 多数；成年
air conditioning,"n. 空气调节系统
 空调；空调系统；冷气"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
to sum up, 总之；概括地说；总之，总而言之
indicate,vt. 表明；指出；预示；象征
landfill,n. 垃圾填埋地；垃圾堆
clean-burning,un. 完全燃烧
waste-to-energy,浪费能源的
footwear,n. 鞋类
annually,adv. 每年；一年一次
near-surface,近地表
build-up,"n. 组成；逐渐增加或积累；堆起
adj. 内建的"
pollutant,n. 污染物
flooding,n. 泛滥；产后出血
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
geometry,"n. 几何学
几何结构"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
brush up,"na. 重新学习；刷光；把…打扮整洁；提高(技巧等)
 复习；擦亮；温习"
brush up on,"na. 重新学习；刷光；把…打扮整洁；提高(技巧等)
 复习；重温；温习"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
argue with,"un. 争论
 与……争论；争吵；争辩"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
inner,"n. 内部
adj. 内部的；内心的；精神的"
