retain,vt. 保持；雇；记住
upperclassman,n. 美国高年级学生
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
award,"n. 奖品；判决
vt. 授予；判定"
capability,n. 才能，能力；性能，容量
capacity,n. 能力；容量；资格，地位；生产力
challenging,"v. 要求；质疑；反对；向…挑战；盘问（challenge的ing形式）
adj. 挑战的；引起挑战性兴趣的"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
digital,"n. 数字；键
adj. 数字的；手指的"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
distinct,adj. 明显的；独特的；清楚的；有区别的
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
enhance,vt. 提高；加强；增加
enable,vt. 使能够，使成为可能；授予权利或方法
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
equip,vt. 装备，配备
ensure,vt. 保证，确保；使安全
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
facilitate,vt. 促进；帮助；使容易
facility,n. 设施；设备；容易；灵巧
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
global,adj. 全球的；总体的；球形的
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
holistic,adj. 整体的；全盘的
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
innovation,n. 创新，革新；新方法
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
interdisciplinary,adj. 各学科间的；跨学科的
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
noteworthy,adj. 值得注意的；显著的
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
property,n. 性质，性能；财产；所有权
prowess,n. 英勇；超凡技术；勇猛
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
responsibility,n. 责任，职责；义务
rigorous,adj. 严格的，严厉的；严密的；严酷的
strategy,n. 战略，策略
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
underpin,vt. 巩固；支持；从下面支撑；加强…的基础
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
well-being,n. 幸福；康乐
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
at large,"na. 随便；拉杂地
 逍遥法外；在逃；未被捕获的"
in support of,"na. 支持；支援；拥护
 为了支持；以便支持；维护"
on average, 平均；平均起来；通常
on the basis of,"na. 以…为基础
 根据；在…基础上；在…的基础上"
alumni,n. （统称）校友，毕业生
assure,vt. 保证；担保；使确信；弄清楚
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
constructive,adj. 建设性的；推定的；构造上的；有助益的
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
extinction,n. 灭绝；消失；消灭；废止
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
fauna,n. 动物群； 动物区系
flora,n. 植物区系；植物群
forefront,n. 最前线，最前部；活动的中心
foundation,n. 基础；地基；基金会；根据；创立
frontiers,n. 边疆（frontier的复数）；尖端科学
generate,vt. 使形成；发生；生殖；产生物理反应
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
immensely,adv. 极大地；无限地；广大地；庞大地
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
passionate,adj. 热情的；热烈的，激昂的；易怒的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
pluralistic,adj. 兼职的；兼管数个教堂的
pursuit,n. 追赶，追求；职业，工作
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
rewarding,adj. 有益的，值得的；有报酬的，报答的
scholarly,adj. 博学的；学者风度的；学者派头的
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
values,n. 价值观念；价值标准
based on,找不到解释
be based on,"v. 以…为基础
 根据；基于；以……为根据"
related to,"prep. 关于
 与…有关；与…有关系；与……相关"
be related to,"na. 和…有(亲戚)关系
 与……有关；与…有关系；与…相关"
life-altering, 改变生活的；改变人生的
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
