abandon,"n. 放任；狂热
vt. 遗弃；放弃"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
repel,vt. 击退；抵制；使厌恶；使不愉快
preclude,vt. 排除；妨碍；阻止
prohibit,vt. 阻止，禁止
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
indignant,adj. 愤愤不平的；义愤的
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
irritated,"v. 激怒；使…无效；使…兴奋（irritate的过去分词）
adj. 恼怒的，生气的"
fury,n. 狂怒；暴怒；激怒者
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
storey,n.  楼层；叠架的一层
staircase,n. 楼梯
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
dwell,vi. 居住；存在于；细想某事
dweller,n. 居民，居住者
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhabitant,n. 居民；居住者
reside,vi. 住，居住；属于
residence,n. 住宅，住处；居住
residential,adj. 住宅的；与居住有关的
populate,vt. 居住于；构成人口；移民于；殖民于
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
conservative,找不到解释
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reservation,n. 预约，预订；保留
maintain,vt. 维持；继续；维修；主张；供养
maintenance,n. 维护，维修；保持；生活费用
sustain,vt. 维持；支撑，承担；忍受；供养；证实
retain,vt. 保持；雇；记住
retention,n. 保留；扣留，滞留；记忆力；闭尿
surpass,vt. 超越；胜过，优于；非…所能办到或理解
exceed,"vt. 超过；胜过
vi. 超过其他"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
transcend,vt. 胜过，超越
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
strainer,n. 过滤器；松紧扣；用力拉的人，拉紧者
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
booklet,n. 小册子
brochure,n. 手册，小册子
leaflet,n. 小叶；传单
pamphlet,n. 小册子
tract,n. 束；大片土地，地带；小册子
tract,n. 束；大片土地，地带；小册子
exert,vt. 运用，发挥；施以影响
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
expedition,n. 远征；探险队；迅速
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
doctrine,n. 主义；学说；教义；信条
dogma,n. 教条，教理；武断的意见
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
catastrophe,n. 大灾难；大祸；惨败
misfortune,n. 不幸；灾祸，灾难
disastrous,adj. 灾难性的；损失惨重的；悲伤的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
necessitate,vt. 使成为必需，需要；迫使
necessity,n. 需要；必然性；必需品
census,"n. 人口普查，人口调查
vt. 实施统计调查"
statistics,n. 统计；统计学； 统计资料
currency,n. 货币；通货
monetary,adj. 货币的；财政的
banknote,n. 纸币
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
utilize,vt. 利用
utilization,n. 利用，使用
utilisation,n. 使用（等于utilization）；利用
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
urgency,n. 紧急；催促；紧急的事
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
routinely,adv. 例行公事地；老一套地
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
outreach,"vt. 超越，伸出；超出…的范围
vi. 拓广，延伸
n. 延伸，拓广；扩大服务范围
adj. 扩大服务的"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
correspond,vi. 符合，一致；相应；通信
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
correspondence,n. 通信；一致；相当
correspondent,n. 通讯记者；客户；通信者；代理商行
counterpart,n. 副本；配对物；极相似的人或物
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
ambassador,n. 大使；代表；使节
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
diplomatic,adj. 外交的；外交上的；老练的
deteriorate,"vi. 恶化，变坏
vt. 恶化"
deterioration,n. 恶化；退化；堕落
improvement,n. 改进，改善；提高
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
abolish,vt. 废除，废止；取消，革除
eradicate,vt. 根除，根绝；消灭
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
removal,n. 免职；移动；排除；搬迁
crackdown,n. 镇压；（美）制裁；强制取缔；惩罚
suppress,vt. 抑制；镇压；废止
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
repression,n. 抑制， 压抑；镇压
repressive,adj. 镇压的；压抑的；抑制的
tolerant,adj. 宽容的；容忍的；有耐药力的
tolerance,n. 公差；宽容；容忍；公差
intolerance,n. （尤指对别人的意见）不宽容；偏狭
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellion,n. 叛乱；反抗；谋反；不服从
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
deport,vt. 驱逐出境；举止；放逐
eject,vt. 喷射；驱逐，逐出
expel,vt. 驱逐；开除
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
enlighten,vt. 启发，启蒙；教导，开导；照耀
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conduction,n.  传导
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
guidance,n. 指导，引导；领导
misguide,vt. 误导；使误入歧途
mislead,vt. 误导；带错
misleading,"adj. 令人误解的；引入歧途的
v. 给…带错路；把…引入歧途（mislead的ing形式）"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
vocational,adj. 职业的，行业的
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
digestive,"n. 助消化药
adj. 消化的；助消化的"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradiction,n. 矛盾；否认；反驳
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
optimistic,adj. 乐观的；乐观主义的
mastermind,"vt. 策划
n. 优秀策划者；才子"
graphic,adj. 形象的；图表的；绘画似的
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
inhibit,vt. 抑制；禁止
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interference,n. 干扰，冲突；干涉
intervene,vi. 干涉；调停；插入
intervention,n. 介入；调停；妨碍
invaluable,adj. 无价的；非常贵重的
precious,adj. 宝贵的；珍贵的；矫揉造作的
junk,n. 垃圾，废物；舢板
peg,"n. 钉；桩；借口；琴栓
vt. 限制；钉木钉
adj. 越往下端越细的
vi. 疾行；孜孜不倦地做某事"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
accumulate,"vt. 积攒
vi. 累积；积聚"
accumulation,n. 积聚，累积；堆积物
cumulative,adj. 累积的
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
summon,vt. 召唤；召集；鼓起；振作
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
centralization,n. 集中化；中央集权管理
monopoly,n. 垄断；垄断者；专卖权
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
liaison,n. 联络；（语言）连音
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
segregate,vt. 使隔离；使分离；在…实行种族隔离
segregation,n. 隔离，分离；种族隔离
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
