colourful,adj. 鲜艳的；生动的；色彩丰富的；富有趣味的
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
go camping, 去野营；去露营；宿营
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
classmate,n. 同班同学
Australia,n. 澳大利亚，澳洲
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
China,"n. 中国
n. china，瓷器
adj. 中国的；中国制造的
adj. china，瓷制的"
too ... to ...,找不到解释
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
Why?,找不到解释
be going to,"v. 将
 将要；一般将来时；打算"
forget,"vi. 忘记
vt. 忘记；忽略"
important,adj. 重要的，重大的；有地位的；有权力的
month,n. 月，一个月的时间
museum,n. 博物馆
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
open day,"n. （学校、机关等的）开放参观日
 开放日；接待日；校园开放日"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
third,"num. 第三；三分之一
adj. 第三的；三分之一的"
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
eighth,"num. 第八；八分之一
adj. 第八的；八分之一的"
ninth,"num. 第九
adj. 第九的；九分之一的
n. 九分之一"
have a good time,"na. 过得愉快；很愉快
 玩得高兴；玩得开心；玩得愉快"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
mountain,n. 山；山脉
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
mountain climbing,"n. 爬山；登山；攀岩
 登山用具；登山运动；登山英语翻译"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
deer,n. 鹿
noon,n. 中午；正午；全盛期
invitation,n. 邀请；引诱；请帖；邀请函
would,"aux. 将，将要；愿意
v. will的过去式"
Would you like ...?,找不到解释
hey,"n. 干草（等于hay）
int. 喂！（引起注意等）；你好！（表示问候）"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
gate,"n. 大门；出入口；门道
vt. 给…装大门"
a.m.,abbr. 上午，午前（ante meridiem）
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
Oh dear!,找不到解释
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
No problem.,找不到解释
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
supermarket,n. 超级市场；自助售货商店
I'd like to ...,找不到解释
I would like to ...,找不到解释
invite,"n. 邀请
vt. 邀请，招待；招致"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
begin,"vi. 开始；首先
vt. 开始"
arrive,vi. 到达；成功；达成；出生
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
valley,n. 山谷；流域；溪谷
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
London,n. 伦敦
New York,"n. 纽约州
 美国纽约；纽约市；纽约步"
America,n. 美洲（包括北美和南美洲）；美国
Hong Kong,"na. 香港
 中国香港；香港特别行政区；中国香港特别行政区"
American,"n. 美国人，美洲人；美国英语
adj. 美国的，美洲的；地道美国式的"
Australian,"adj. 澳大利亚的，澳大利亚人的
n. 澳大利亚人"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
the Great Wall,找不到解释
the Summer Palace,找不到解释
take a walk,"na. 散步
 散散步；去散步；音乐漫步"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
street,"n. 街道
adj. 街道的"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
safety,n. 安全；保险；安全设备；保险装置；安打
careful,adj. 仔细的，小心的
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
oops,int. 哎哟（表示惊讶，狼狈时所发的喊声）
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
get hurt,"na. 受伤
 受伤了；受到伤害；受伤害"
must,"aux. 必须，一定；可以，应当；很可能
n. 绝对必要的事物；未发酵葡萄汁"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
yourself,pron. 你自己
watch out,"na. 当心；留神；小心；提防
 注意；密切注视；监视"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
fall down,"na. (向下游)流下；失败；跌倒；同“fall”
 倒下；摔倒；倒塌"
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
dangerous,"adj. 危险的
危险地"
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
