abase,vt. 使…谦卑；降低…的品格；降低…的地位
abash,vt. 使困窘；使羞愧；使局促不安
abate,"vt. 减轻；减少；废除
vi. 减轻；失效"
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
abduction,n. 诱拐，绑架；诱导
aberrant,adj. 异常的；畸变的；脱离常轨的；迷乱的
abet,vt. 煽动，教唆；支持
abeyance,n. 中止，停顿；归属待定，暂搁
abhor,vt. 痛恨，憎恶
abject,adj. 卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的
abjure,vt. 发誓放弃；公开放弃；避免
ablution,n. 洗礼；洗澡（常用复数）；斋戒沐浴
abnegation,n. 拒绝；放弃；克制
abolish,vt. 废除，废止；取消，革除
abominable,adj. 讨厌的；令人憎恶的；糟透的
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
abortive,adj. 失败的；流产的；堕胎的
abrade,"vt. 擦伤；磨损
vi. 经受磨损；受擦伤"
abrasive,"adj. 粗糙的；有研磨作用的；伤人感情的
n. 研磨料"
abridge,vt. 删节；缩短；节略
abrogate,vt. 废除；取消
abscond,vi. 逃匿，潜逃；避债
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
absolve,vt. 免除；赦免；宣告…无罪
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abstain,vi. 自制；放弃；避免
abstemious,adj. 节约的，节省的；有节制的
abstinence,n. 节制；节欲；戒酒；禁食
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abstruse,adj. 深奥的；难懂的
abundant,adj. 丰富的；充裕的；盛产
abusive,adj. 辱骂的；滥用的；虐待的
abut,"vt. 邻接；毗邻；紧靠
vi. 邻接；毗邻；紧靠"
abysmal,adj. 深不可测的；糟透的；极度的
abyss,n. 深渊；深邃，无底洞，地狱
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
accede,vi. 加入；同意；就任
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accentuate,vt. 强调；重读
accessible,adj. 易接近的；可进入的；可理解的
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
acclimate,"vt. 使适应；使服水土
vi. 服水土；适应新环境"
acclivity,n. 向上的斜坡； 上斜
accolade,n. 荣誉；荣誉称号授予仪式；连谱号；称赞
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accomplice,n. 同谋者， 共犯
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accost,vt. 勾引；引诱；对…说话；搭讪
accretion,n. 添加；增加物；连生；冲积层
accrue,"vt. 获得；积累
vi. 产生；自然增长或利益增加"
acerbity,n. 酸，涩；刻薄
acetic,adj. 醋的，乙酸的
acidulous,adj. 带酸味的；尖刻的；带讽刺意味的
acknowledge,vt. 承认；答谢；报偿；告知已收到
acme,n. 顶点，极点；最高点
acoustics,n. 声学；音响效果，音质
acquiesce,vi. 默许；勉强同意
acquire,vt. 获得；取得；学到；捕获
acquittal,n. 赦免；无罪开释；履行；尽职；（债务等的）清偿
acrid,adj. 辛辣的；苦的；刻薄的
acrimonious,adj. 严厉的；辛辣的；刻薄的
acrophobia,n. 恐高症，高处恐怖症
actuarial,adj.  保险精算的； 保险统计的
actuate,vt. 开动（机器等）；促使，驱使；激励（人等）
acuity,n. 敏锐；尖锐；剧烈
acumen,n. 聪明，敏锐
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
adage,n. 格言，谚语；箴言
adamant,"n. 坚硬的东西；坚石
adj. 固执的，坚强的；坚定不移的；坚硬无比的"
adapt,"vi. 适应
vt. 使适应；改编"
addendum,n. 附录，附件；补遗；附加物
addiction,n. 上瘾，沉溺；癖嗜
addle,"adj. 腐坏的；糊涂的，昏乱的
vt. 使腐坏；使混乱
vi. 变质；变混乱"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adherent,"n. 信徒；追随者
adj. 附着的；粘着的"
adjacent,adj. 邻近的，毗连的
adjunct,"n. 附属物；助手；修饰语
adj. 附属的"
admonish,vt. 告诫；劝告
admonition,n. 警告
adorn,vt. 装饰；使生色
adroit,adj. 敏捷的，灵巧的；熟练的
adulation,n. 奉承；谄媚
adulterate,"adj. 通奸的；搀杂的
vt. 掺假"
advent,n. 到来；出现；基督降临；基督降临节
adventitious,adj. 外来的，偶然的
adversary,n. 对手；敌手
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
adversity,n. 逆境；不幸；灾难；灾祸
advocacy,n. 主张；拥护；辩护
aerie,n. 猛禽的窝，猛禽巢；高处的房子或城堡
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
affable,adj. 和蔼可亲的；友善的
affected,"adj. 受到影响的；做作的；假装的
vt. 影响；假装；使…感动（affect的过去式和过去分词）"
affidavit,n. 宣誓书
affiliation,n. 友好关系；加入；联盟；从属关系
affinity,n. 密切关系；吸引力；姻亲关系；类同
affirmation,n. 主张，肯定；断言
affix,"n.  词缀；附加物
vt. 粘上；署名；将罪责加之于"
affliction,n. 苦难；苦恼；折磨
affluence,n. 富裕；丰富；流入；汇聚
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
agglomeration,n. 凝聚；结块；附聚
aggrandize,vt. 增加；夸大；强化
astute,adj. 机敏的；狡猾的，诡计多端的
aghast,adj. 吓呆的，惊骇的；吃惊的
agility,n. 敏捷；灵活；机敏
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
agnostic,"n. 不可知论者
adj. 不可知论的"
agrarian,adj. 土地的；耕地的；有关土地的
alacrity,n. 敏捷；轻快；乐意
alchemy,n. 点金术；魔力
alcove,n. 凹室；壁龛
alias,"n. 别名，化名
adv. 别名叫；化名为"
alienate,vt. 使疏远，离间；让与
alimentary,adj. 滋养的；食物的
alimony,n.  赡养费；生活费
allay,vt. 减轻；使缓和；使平静
allege,vt. 宣称，断言；提出…作为理由
allegiance,n. 效忠，忠诚；忠贞
allegory,n. 寓言
alleviate,vt. 减轻，缓和
alliteration,n. 头韵；同音韵错误症
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
allusion,n. 暗示；提及
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
aloof,"adj. 冷淡的；远离的；冷漠的
adv. 远离；避开地"
altercation,n. 争执
altruistic,adj. 利他的；无私心的
amalgamate,"vt. 合并；使（金属）汞齐化；混合
vi. 合并；汞齐化；调制汞合金"
amass,vt. 积聚，积累
ambidextrous,adj. 双手灵巧的；怀有二心的
ambience,n. 气氛，布景；周围环境
ambiguous,adj. 模糊不清的；引起歧义的
ambivalence,n.  矛盾情绪；正反感情并存
ambulatory,"n.  回廊
adj. 流动的；走动的；非固定的"
ameliorate,"vt. 改善；减轻（痛苦等）；改良
vi. 变得更好"
amenable,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
amenities,n. 令人愉快之事物（amenity的复数）
amiable,adj. 和蔼可亲的，亲切的
amicable,adj. 友好的；友善的
amiss,"adj. 有毛病的，有缺陷的；出差错的
adv. 错误地"
amity,n. 友好；亲善关系；友好关系
amnesty,"n. 大赦，特赦
vt. 对…实行大赦"
amoral,adj. 与道德无关的；无从区分是非的；超道德的
amorous,adj. 多情的；恋爱的；热情的；色情的
amorphous,adj. 无定形的；无组织的； 非晶形的
amphibian,"n.  两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的； 水陆两用的；具有双重性格的"
amphitheater,n. 竞技场； 圆形露天剧场；古罗马剧场
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
amulet,n. 护身符，避邪物
anachronistic,adj. 时代错误的
analgesic,"n. 止痛剂； 镇痛剂
adj. 止痛的"
analogous,adj. 类似的； 同功的；可比拟的
analogy,n. 类比；类推；类似
anarchist,"n. 无政府主义者
无政府主义的"
anathema,n. 诅咒；革出教门；被诅咒者；令人厌恶的人
ancestry,n. 祖先；血统
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
ancillary,"n. 助手；附件
adj. 辅助的；副的；从属的"
anecdote,n. 轶事；奇闻；秘史
anemia,n. 贫血；贫血症
anesthetic,"n. 麻醉剂，麻药
adj. 麻醉的；感觉缺失的"
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
