alliance,n. 联盟，联合；联姻
assert,vt. 维护，坚持；断言；主张；声称
campus,n. （大学）校园；大学，大学生活；校园内的草地
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
destruction,n. 破坏，毁灭；摧毁
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
economy,n. 经济；节约；理财
employment,n. 使用；职业；雇用
era,n. 时代；年代；纪元
establishment,n. 确立，制定；公司；设施
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
liberating,解放，释放（liberate的现在分词）
opportunity,n. 时机，机会
passion,n. 激情；热情；酷爱；盛怒
philosophy,n. 哲学；哲理；人生观
prospects,n. 前景；预期；潜在顾客；远景展望
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
distinct,adj. 明显的；独特的；清楚的；有区别的
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
