deviate,"vi. 脱离；越轨
vt. 使偏离"
preclude,vt. 排除；妨碍；阻止
premier,"n. 总理，首相
adj. 第一的；最初的"
whereby,adv. 凭借；通过…；借以；与…一致
civic,adj. 市的；公民的，市民的
patriotic,adj. 爱国的
clear-cut,adj. 清晰的；轮廓鲜明的
inhibit,vt. 抑制；禁止
scholarly,adj. 博学的；学者风度的；学者派头的
idiot,n. 笨蛋，傻瓜；白痴
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
persecution,n. 迫害；烦扰
misfortune,n. 不幸；灾祸，灾难
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
glamorous,adj. 迷人的，富有魅力的
tragic,adj. 悲剧的；悲痛的，不幸的
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
optimism,n. 乐观；乐观主义
dedication,n. 奉献；献身；赠言
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
uphold,vt. 支撑；鼓励；赞成；举起
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
statesman,n. 政治家；国务活动家
diligent,adj. 勤勉的；用功的，费尽心血的
diligently,adv. 勤奋地；勤勉地
pursuit,n. 追赶，追求；职业，工作
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
prestige,n. 威望，声望；声誉
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
unprecedented,adj. 空前的；无前例的
nominate,vt. 推荐；提名；任命；指定
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
expend,vt. 花费；消耗；用光；耗尽
threat,n. 威胁，恐吓；凶兆
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
