relationship,n. 关系；关联
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
reduction,n. 减少；下降；缩小；还原反应
environment,n. 环境，外界
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
opportunity,n. 时机，机会
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
responsible,adj. 负责的，可靠的；有责任的
various,adj. 各种各样的；多方面的
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
imply,vt. 意味；暗示；隐含
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
economic,adj. 经济的，经济上的；经济学的
consumer,n. 消费者；用户，顾客
increasingly,adv. 越来越多地；渐增地
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
limit,"n. 限制；限度；界线
vt. 限制；限定"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
financial,adj. 金融的；财政的，财务的
consequence,n. 结果；重要性；推论
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
involve,vt. 包含；牵涉；使陷于；潜心于
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
employee,n. 雇员；从业员工
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
ignore,vt. 驳回诉讼；忽视；不理睬
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
data,n. 数据（datum的复数）；资料
maintain,vt. 维持；继续；维修；主张；供养
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
instance,"n. 实例；情况；建议
vt. 举...为例"
