hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
I,"n. 碘元素；英语字母I
pron. 我"
am,找不到解释
hi,int. 嗨！（表示问候或用以唤起注意）
Miss,找不到解释
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
morning,n. 早晨；黎明；初期
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
goodbye,"int. 再见
放弃
告别"
afternoon,n. 午后，下午
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
is,"v. 是（be的三单形式）
n. 存在"
your,pron. 你的，你们的
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
you,pron. 你；你们
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
two,"num. 二
n. 两个
adj. 两个的"
three,"num. 三
n. 三，三个
adj. 三的，三个的"
four,"num. 四；四个
adj. 四的；四个的"
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
six,"num. 六，六个
n. 六，六个"
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的"
eight,"num. 八；八个；第八
n. 八字形
adj. 八的"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的"
ten,num. 十个，十
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
