alter,"vt. 改变，更改
vi. 改变；修改"
agricultural,adj. 农业的；农艺的
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
heavily,adv. 沉重地；猛烈地；沉闷地
site,"n. 地点；位置；场所
vt. 设置；为…选址"
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
villager,n. 乡村居民，村民
hundreds of ...,找不到解释
empire,n. 帝国；帝王统治，君权
consist,vi. 由…组成；在于；符合
Roman,"n. 罗马人；古罗马语
adj. 罗马的；罗马人的"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
emerge,vi. 浮现；摆脱；暴露
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
capacity,n. 能力；容量；资格，地位；生产力
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
shortly,adv. 立刻；简短地；唐突地
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
for another three years,找不到解释
popularity,n. 普及，流行；名气；受大众欢迎
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
urgent,adj. 紧急的；急迫的
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
wilderness,n. 荒地；大量，茫茫一片
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
