guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
dubious distinction, 什么意思；我只是要
policy,n. 政策，方针；保险单
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
establish,"vi. 植物定植
vt. 建立；创办；安置"
explicit,adj. 明确的；清楚的；直率的；详述的
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
modesty,n. 谦逊；质朴；稳重
bitterly,adv. 苦涩地，悲痛地；残酷地；怨恨地
precedent,"n. 先例；前例
adj. 在前的；在先的"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
define,vt. 定义；使明确；规定
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
depend on,"v. 依靠
 依赖；取决于；视……而定"
in some sense,"na. 在某种意义上；在某种程度上
 从某种意义上说；从某种意义上来说；可以这么说吧"
continuity,n. 连续性；一连串；分镜头剧本
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
emotional,adj. 情绪的；易激动的；感动人的
capability,n. 才能，能力；性能，容量
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
obligation,n. 义务；职责；债务
classify,vt. 分类；分等
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
merely,adv. 仅仅，只不过；只是
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
urgent,adj. 紧急的；急迫的
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
parenting,"n. 父母对子女的养育
v. 教养（parent的ing形式）；做…的父亲或母亲"
responsibility,n. 责任，职责；义务
ignore,vt. 驳回诉讼；忽视；不理睬
approval,n. 批准；认可；赞成
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
union,n. 联盟，协会；工会；联合
limited,"adj. 有限的
n. 高级快车"
mayor,n. 市长
install,vt. 安装；任命；安顿
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
disclose,vt. 公开；揭露
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
give out,"na. 发表；放出；分发
 发出；用完；用尽"
maximize,"vt. 取…最大值；对…极为重视
vi. 尽可能广义地解释；达到最大值"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
statistic,"n. 统计数值
adj. 统计的，统计学的"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
restricted,"v. 限制（restrict的过去式和过去分词）
adj. 受限制的；保密的"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
transportation,n. 运输；运输系统；运输工具；流放
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
in horror, 惊恐地；恐惧；恐惧地
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
enclose,vt. 围绕；装入；放入封套
amazement,n. 惊异；惊愕
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
look on,"na. 旁观；面向；看做
 观看；看待；观望"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
shattered,"v. 打碎；削弱；使心烦意乱（shatter的过去分词）
adj. 破碎的；极度疲劳的"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
remarkable,adj. 卓越的；非凡的；值得注意的
look through,"na. 浏览；翻查；对…视而不见；看穿
 仔细查看；翻阅；看一遍"
circumstance,n. 环境，情况；事件；境遇
be absorbed in,"na. 全神贯注在…；热衷于
 全神贯注于；专心于；一心从事"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
recount,"n. 重算
vt. 叙述；重新计算"
unfold,"vi. 展开；显露
vt. 打开；呈现"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
skim over,"un. 在(某一表面)轻轻掠过；轻轻擦过:
 浏览；篷车在平原上驰骋"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
round-the-clock,adj. 全天的；全天候的；不分昼夜的；连续不停的
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
bandage,"n. 绷带
vt. 用绷带包扎"
exclude,vt. 排除；排斥；拒绝接纳；逐出
fatherhood,n. 父亲的身份；父权；父性；父道
involvement,n. 牵连；包含；混乱；财政困难
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
evident,adj. 明显的；明白的
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
unsympathetic,adj. 不表同情的；不同情的
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
breadwinner,n. 负担家计的人；养家糊口的人
traditionally-minded,找不到解释
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
disadvantage,n. 缺点；不利条件；损失
opportunity,n. 时机，机会
equip,vt. 装备，配备
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
remarkable,adj. 卓越的；非凡的；值得注意的
consultation,n. 咨询；磋商； 会诊；讨论会
access to sth.,找不到解释
relatively,adv. 相当地；相对地，比较地
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
house call,"n. 家庭拜访
 出诊；上门服务；经纪公司催缴通知"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
be intended for, 为…准备；为---而；预定给
hands-on,adj. 亲身实践的，亲自动手的
