accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
core,找不到解释
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
workforce,n. 劳动力；工人总数，职工总数
framework,n. 框架，骨架；结构，构架
network,n. 网络；广播网；网状物
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
author,"n. 作者；作家；创始人
vt. 创作出版"
authority,n. 权威；权力；当局
authorize,vt. 批准，认可；授权给；委托代替
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
society,n. 社会；交往；社团；社交界
association,n. 协会，联盟，社团；联合；联想
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
justice,n. 司法，法律制裁；正义；法官，审判员
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
justification,n. 理由；辩护；认为有理，认为正当；释罪
text,"n.  文本；课文；主题
vt. 发短信"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
