highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
abnormal,adj. 反常的，不规则的；变态的
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
sympathy,n. 同情；慰问；赞同
pollution,"n. 污染
污染物"
standpoint,n. 立场；观点
genius,n. 天才，天赋；精神
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
circumstance,n. 环境，情况；事件；境遇
outset,n. 开始；开端
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
fiction,n. 小说；虚构，编造；谎言
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
obtain,"vi. 获得；流行
vt. 获得"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
excessive,adj. 过多的，极度的；过分的
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
distribute,vt. 分配；散布；分开；把…分类
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
insurance,n. 保险；保险费；保险契约；赔偿金
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
famine,n. 饥荒；饥饿，奇缺
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
creature,n. 动物，生物；人；创造物
sustain,vt. 维持；支撑，承担；忍受；供养；证实
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
imitate,vt. 模仿，仿效；仿造，仿制
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
patience,n. 耐性，耐心；忍耐，容忍
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
protect,vt. 保护，防卫；警戒
chaotic,adj. 混沌的；混乱的，无秩序的
describe,vt. 描述，形容；描绘
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
academy,n. 学院；研究院；学会；专科院校
excellent,adj. 卓越的；极好的；杰出的
occupy,vt. 占据，占领；居住；使忙碌
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
injury,n. 伤害，损害；受伤处
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
