abandon,"n. 放任；狂热
vt. 遗弃；放弃"
ability,n. 能力，能耐；才能
abolish,vt. 废除，废止；取消，革除
absence,n. 没有；缺乏；缺席；不注意
absorption,n. 吸收；全神贯注，专心致志
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abundant,adj. 丰富的；充裕的；盛产
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
accomplish,vt. 完成；实现；达到
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accumulate,"vt. 积攒
vi. 累积；积聚"
accurate,adj. 精确的
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
acknowledge,vt. 承认；答谢；报偿；告知已收到
acquire,vt. 获得；取得；学到；捕获
adapt,"vi. 适应
vt. 使适应；改编"
additional,adj. 附加的，额外的
adjacent,adj. 邻近的，毗连的
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
administration,n. 管理；行政；实施；行政机构
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
afford,vt. 给予，提供；买得起
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alter,"vt. 改变，更改
vi. 改变；修改"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
analyze,vt. 对…进行分析，分解（等于analyse）
ancestor,n. 始祖，祖先；被继承人
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
anthropology,"n. 人类学
人类学家"
anticipate,vt. 预期，期望；占先，抢先；提前使用
apparent,adj. 显然的；表面上的
appearance,n. 外貌，外观；出现，露面
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
appropriately,adv. 适当地；合适地；相称地
approximately,adv. 大约，近似地；近于
architecture,n. 建筑学；建筑风格；建筑式样；架构
arid,adj. 干旱的；不毛的， 荒芜的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
aspect,n. 方面；方向；形势；外貌
aspiration,n. 渴望；抱负；送气；吸气；吸引术
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assess,vt. 评定；估价；对…征税
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
atom,n. 原子
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
attribute,"n. 属性；特质
vt. 归属；把…归于"
audience,n. 观众；听众；读者；接见；正式会见；拜会
authority,n. 权威；权力；当局
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
available,adj. 可获得的；可购得的；可找到的；有空的
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
boundary,n. 边界；范围；分界线
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
brevity,n. 简洁，简短；短暂，短促
bulky,adj. 体积大的；庞大的；笨重的
capable,adj. 能干的，能胜任的；有才华的
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
category,n. 种类，分类； 范畴
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
chaos,n. 混沌，混乱
chemical,"n. 化学制品，化学药品
adj. 化学的"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circumstance,n. 环境，情况；事件；境遇
citizen,n. 公民；市民；老百姓
civilization,n. 文明；文化
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
classification,n. 分类；类别，等级
climatic,adj. 气候的；气候上的；由气候引起的；受气候影响的
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
collaboration,n. 合作；勾结；通敌
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
colleague,n. 同事，同僚
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commodity,n. 商品，货物；日用品
community,n. 社区； 群落；共同体；团体
comparatively,adv. 比较地；相当地
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complicate,vt. 使复杂化；使恶化；使卷入
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
composition,n. 作文，作曲，作品； 构成；合成物；成分
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
conclusion,n. 结论；结局；推论
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
confirm,vt. 确认；确定；证实；批准；使巩固
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
confront,vt. 面对；遭遇；比较
conquest,n. 征服，战胜；战利品
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consequence,n. 结果；重要性；推论
considerable,adj. 相当大的；重要的，值得考虑的
consist,vi. 由…组成；在于；符合
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
construct,"n. 构想，概念
vt. 建造，构造；创立"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
context,n. 环境；上下文；来龙去脉
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
contradiction,n. 矛盾；否认；反驳
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
controversy,n. 争论；论战；辩论
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
convince,vt. 说服；使确信，使信服
cooperate,vi. 合作，配合；协力
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
