apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
application,n. 应用；申请；应用程序；敷用
occupation,n. 职业；占有；消遣；占有期
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
capacity,n. 能力；容量；资格，地位；生产力
capable,adj. 能干的，能胜任的；有才华的
adequate,adj. 充足的；适当的；胜任的
expertise,n. 专门知识；专门技术；专家的意见
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assignment,n. 分配；任务；作业；功课
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
arrangement,n. 布置；整理；准备
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
adapt,"vi. 适应
vt. 使适应；改编"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
bustle,"n. 喧闹；活跃；裙撑；热闹的活动
vt. 使忙碌；催促
vi. 喧闹；忙乱；充满"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
occupy,vt. 占据，占领；居住；使忙碌
immerse,vt. 沉浸；使陷入
complement,"n. 补语；余角；补足物
vt. 补足，补助"
facilitate,vt. 促进；帮助；使容易
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
exert,vt. 运用，发挥；施以影响
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
dedicate,vt. 致力；献身；题献
strive,vi. 努力；奋斗；抗争
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
negligence,n. 疏忽；忽视；粗心大意
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
obligation,n. 义务；职责；债务
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
preside,"vi. 主持，担任会议主席
vt. 管理"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
displace,vt. 取代；置换；转移；把…免职；排水
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
precedent,"n. 先例；前例
adj. 在前的；在先的"
deadline,n. 截止期限，最后期限
superintendent,n. 监督人；负责人；主管；指挥者
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
predecessor,n. 前任，前辈
successor,n. 继承者；后续的事物
partnership,n. 合伙； 合伙企业；合作关系；合伙契约
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
patron,n. 赞助人；保护人；主顾
layman,n. 外行；门外汉；俗人；一般信徒
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
profession,n. 职业，专业；声明，宣布，表白
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
vocational,adj. 职业的，行业的
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
colleague,n. 同事，同僚
deputy,"n. 代理人，代表
adj. 副的；代理的"
confidential,adj. 机密的；表示信任的；获信任的
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
magistrate,n. 地方法官；文职官员；治安推事
lieutenant,n. 中尉；副官；助理人员
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
solicitor,n. 律师；法务官；募捐者；掮客
consultant,n. 顾问；咨询者；会诊医生
dentist,"n. 牙科医生
牙医诊所"
messenger,n. 报信者，送信者；先驱
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
accomplish,vt. 完成；实现；达到
achievement,n. 成就；完成；达到；成绩
proficiency,n. 精通，熟练
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
assure,vt. 保证；担保；使确信；弄清楚
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
nominate,vt. 推荐；提名；任命；指定
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
