alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
everyone,"n. 每个人
pron. 每个人；人人"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
hey,"n. 干草（等于hay）
int. 喂！（引起注意等）；你好！（表示问候）"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
notebook,n. 笔记本，笔记簿；手册
ping-pong,n. 乒乓球；桌球
school,"n. 学校；学院；学派；鱼群
vt. 教育"
shake hands,"na. 握手
 握手言和；握握手；拉手"
until,"prep. 在…以前；到…为止
conj. 在…以前；直到…时"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
CD-ROM,abbr. 只读光盘驱动器（Compact Disc Read - Only Memory）
do shopping,找不到解释
Easter,n. 复活节
Easter Bunny,找不到解释
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
mobile phone,"n. 手机；移动电话
 手机号码；行动电话；手提电话"
moment,n. 片刻，瞬间，时刻；重要，契机
over there,"na. 在那边；在欧洲；在战地
 在那里；在那儿；那时那地"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
phone box,"n. （全封闭的）公用电话亭
 公共电话亭；手机盒子；手机盒"
phone call,"n. 电话
 打电话；电话呼叫；打电话英语"
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
see you tomorrow,找不到解释
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
storybook,n. 故事书；小说
wait a moment, 等一下；等一会儿；稍等一下
website,n. 网站（全球资讯网的主机站）
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
Arctic,找不到解释
come to a stop,"na. (完全)停止
 停下来；停了下来；刹车"
early,"adj. 早期的；早熟的
adv. 提早；在初期"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
fishing,"n. 渔业；捕鱼（术）；试探；装配
adj. 钓鱼的；钓鱼用的
v. 捕鱼（fish的ing形式）"
go fishing, 去钓鱼；垂钓；我以前常去钓鱼
grandad,n. 爷爷；外公
grandma,n. 奶奶；外婆
grandpa,n. 爷爷；外公
hare,n. 野兔
hill,n. 小山；丘陵；斜坡；山冈
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
North Pole,找不到解释
polar bear,"n. 北极熊；白熊
 冬泳者；极地熊；北极熊篇"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
shopping mall,"un. 商业区林荫路
 购物中心；大型购物中心；商场"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
South Pole,"n. 南极
 南极点；北极；南磁极"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
detective,"n. 侦探
adj. 侦探的"
different,adj. 不同的；个别的，与众不同的
interesting,adj. 有趣的；引起兴趣的，令人关注的
Kung Fu Panda,找不到解释
nature,n. 自然；性质；本性；种类
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
science fiction,"n. 科幻小说；科幻电影
 科幻机械类的作品；科幻片；科学幻想"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
television,n. 电视，电视机；电视业
telly,n. 电视
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
true,"n. 真实；准确
adj. 真实的；正确的
vt. 装准
adv. 真实地；准确地"
usually,adv. 通常，经常
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
beside,prep. 在旁边；与…相比；和…无关
bus stop,"n. 公共汽车停靠站
 公共汽车站；巴士站；公交车站"
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
excuse me,"un. 请原谅；对不起
 劳驾；打扰一下；打扰了"
hospital,n. 医院
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
museum,n. 博物馆
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
police station,"n. 警察局；派出所
 警局；公安局；警察分局"
post office,"n. 邮局；邮政部门；邮政系统；邮差敲门游戏（儿童用假托的信件换取亲吻）
 邮政局；邮电局；邮政署"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
tourist office, 旅游信息中心；旅游咨询处；旅游办公室
town,n. 城镇，市镇；市内商业区
train station,"n. 火车站
 最近的车站；火车站图片；距离火车站"
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
badly,adv. 非常，很；严重地，厉害地；恶劣地
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
boat,"n. 小船；轮船
vi. 划船"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
Children's Day,"na. 儿童节
 六一儿童节；国际儿童节；日本儿童节"
city,"n. 城市，都市
adj. 城市的；都会的"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
cloudy,adj. 多云的；阴天的；愁容满面的
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
jet-ski,n. 水上摩托车
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
 路过；走过；忽略"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
snorkel,"n. 通气管；潜艇换气装置
vi. 用水下通气管潜航"
snorkelling,"n. 使用水下呼吸管潜游；浮潜
v. 用水下通气管潜航（snorkel的ing形式）"
starfish,n. 海星
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
too,adv. 太；也；很；还；非常；过度
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
windy,adj. 多风的，有风的；腹胀的；吹牛的
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
afraid,adj. 害怕的；恐怕；担心的
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
ago,"adj. 以前的；过去的
adv. 以前，以往"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
be afraid of,"na. 怕
 害怕；害怕某物；害怕某事"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
born to, 生来就；由•••所生；生来就有
cactus,n.  仙人掌
coat,"n. 外套
vt. 覆盖…的表面"
cowboy hat,"n. （美国牛仔戴的）牛仔帽
 牛仔毛帽；标准牛仔帽；荒野之帽"
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
good at,"un. 擅长；一清二楚；拿手的；精明的
 擅长于；善于；你擅长的技能"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
