acolyte,n. 侍僧；助手（指教士的）
bibulous,adj. 吸水的；嗜酒的
coalesce,"vt. 使…联合；使…合并
vi. 合并；结合；联合"
covert,"n. 隐藏处；树丛；蔽覆羽翮基部的羽毛
adj. 隐蔽的；隐密的；偷偷摸摸的；在丈夫保护下的"
declaim,"vt. 演讲；慷慨激昂地发表
vi. 慷慨陈词；演讲；朗读"
delineate,vt. 描绘；描写；画…的轮廓
demagogue,n. 煽动者；煽动家；煽动政治家
encomium,n. 赞美，称赞；赞辞
obdurate,adj. 顽固的，执拗的；冷酷无情的
prescience,n. 先见；预知
protagonist,n. 主角，主演；主要人物，领导者
sedulous,adj. 聚精会神的；勤勉的；勤苦工作的
trenchant,adj. 尖刻的；锐利的；苛刻的；锋利的（名词trenchancy，副词trenchantly）
utopia,找不到解释
valedictory,"n. 告别辞
adj. 告别的"
absolve,vt. 免除；赦免；宣告…无罪
adumbrate,vt. 预示；画…的轮廓；遮蔽
apothegm,n. 格言；箴言；警句
aspersion,n. 中伤，诽谤；洒水
congenital,adj. 先天的，天生的；天赋的
élan,找不到解释
germane,adj. 有密切关系的；贴切的；恰当的
hiatus,n. 裂缝，空隙；脱漏部分
immure,vt. 把…嵌在墙上；监禁，禁闭
ineluctable,adj. 不可避免的；无法逃避的
internecine,adj. 两败俱伤的；互相残杀的；致命的
invoke,vt. 调用；祈求；引起；恳求
prototype,n. 原型；标准，模范
quadrennial,"n. 第四周年纪念
adj. 每四年一次的；连续四年的"
amalgam,n.  汞合金， 汞齐；混合物
antediluvian,"n. 大洪水以前的人；年迈的人；不合时宜的人
adj. 大洪水前的；远古的；陈旧的；旧式的"
apothecary,n. 药剂师；药师；药材商
ascetic,"n. 苦行者；禁欲者
adj. 苦行的；禁欲主义的"
beneficent,adj. 慈善的；善行的
charlatan,"n. 吹牛者；江湖医生
adj. 骗人的"
denizen,"n. 居民；外来语；外籍居民
vt. 给…居住权；移植"
doyen,n. 首席；老资格；老前辈
flora,n. 植物区系；植物群
imbibe,vt. 吸收，接受；喝；吸入
nostrum,n. 秘方；成药；万能药
obviate,vt. 排除；避免；消除
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
putative,adj. 推定的，假定的
savant,n. 学者；专家
approbation,n. 认可；赞许；批准
benighted,"adj. 愚昧的；赶路到天黑的
v. 使处于夜色包围之中；使愚昧无知（benight的过去分词）"
bourgeois,"n. 资本家；九点活字；中产阶级的人；追求物质享受和社会地位者
adj. 资产阶级的；中产阶级的；贪图享受的"
credo,n. 信条，教义
empirical,adj. 经验主义的，完全根据经验的；实证的
eschew,vt. 避免；避开；远避
expatiate,vi. 详述；细说；漫游
iconoclast,n. 偶像破坏者；提倡打破旧习的人
indigence,n. 穷困；贫乏；贫穷
laudable,adj. 值得赞赏的
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
ostensible,adj. 表面的；假装的
recalcitrant,"n. 顽抗者；不服从的人
adj. 反抗的；反对的；顽强的"
regurgitate,"vt. 使回流；使回涌；使反刍
vi. 回流；回涌；反胃；反刍"
risible,adj. 可笑的；爱笑的；引人笑的
archaic,adj. 古代的；陈旧的；古体的；古色古香的
carouse,"n. 喧闹的酒会或宴会；一饮而尽
vi. 畅饮；欢宴"
chicanery,n. 狡辩；欺骗；强词夺理
contentious,adj. 诉讼的；有异议的，引起争论的；爱争论的
dissemble,"vt. 掩饰，掩盖；假装
vi. 隐藏，掩饰（思想、感情等）"
egregious,adj. 惊人的；过分的；恶名昭彰的
execrate,"vt. 诅咒；憎恶；痛骂
vi. 诅咒"
fealty,n. 忠诚；忠实
microcosm,n. 微观世界；小宇宙；作为宇宙缩影的人类；缩图（等于microcosmos）
paroxysm,n. （疾病周期性）发作；突发
pecuniary,adj. 金钱的；应罚款的
rectitude,n. 公正；诚实；清廉
stratagem,n. 策略；计谋
stultify,vt. 使变无效；使显得愚笨；使无价值
vendetta,n. （尤指族间或血亲间的）仇杀；深仇
actuate,vt. 开动（机器等）；促使，驱使；激励（人等）
brackish,adj. 含盐的；令人不快的；难吃的
cognitive,adj. 认知的，认识的
dissertation,n. 论文，专题；学术演讲
dolorous,adj. 忧伤的；悲痛的
endemic,"n. 地方病
adj. 地方性的；风土的"
fecund,adj. 肥沃的；多产的；丰饶的；生殖力旺盛的
genealogy,n. 宗谱；血统；家系；系谱学
inebriated,"adj. 酒醉的
v. 使醉（inebriate的过去分词）"
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
interloper,n. 闯入者；（为私利）干涉他人事务者；无执照营业者
precursor,n. 先驱，前导
presentiment,n. 预感
ramification,n. 衍生物；分枝，分叉；支流
torpor,n. 不活泼；麻木；懒散，迟缓
abjure,vt. 发誓放弃；公开放弃；避免
amorphous,adj. 无定形的；无组织的； 非晶形的
animus,n. 敌意；意图；基本态度；女性的男性意向
dichotomy,n. 二分法；两分；分裂；双歧分枝
exemplar,n. 模范，榜样；标本
herculean,adj. 力大无比的；困难的；赫拉克勒斯的
inchoate,"adj. 早期的；刚开始的；未充分发展的
vt. 开始
vi. 开始"
invidious,adj. 诽谤的；不公平的；引起反感的；易招嫉妒的
mélange,找不到解释
nefarious,adj. 邪恶的；穷凶极恶的；不法的
nihilism,n. 虚无主义；无政府主义；恐怖行为
ratify,vt. 批准；认可
subsume,vt. 把……归入；把……包括在内
variegated,"adj. 杂色的；斑驳的；富于变化的
v. 成为杂色（variegate的过去式）"
vitiate,vt. 损害，弄坏；使无效；污染
aborigine,n. 土著；土著居民
abrogate,vt. 废除；取消
appurtenance,n. 附属物；配件
bivouac,"n. 露营；露营地
vt. 使…露宿；为…安排露营
vi. 露宿"
cetacean,"n. 鲸鱼；鲸类动物
adj. 鲸类的；鲸鱼的"
decry,vt. 责难，谴责；诽谤
desuetude,n. 废止；不用
leviathan,n. 海中怪兽；庞然大物；巨轮
mawkish,adj. 令人作呕的，令人厌恶的；自作多情的；淡而无味的
misapprehend,vt. 误会，误解
parochial,adj. 教区的；狭小的；地方范围的
purvey,"vt. 供应；供给
vi. 供应；供给"
recourse,n. 求援，求助； 追索权；依赖；救生索
replete,"n.  贮蜜蚁
adj. 充满的；装满的"
waive,vt. 放弃；搁置
apposite,adj. 适当的；贴切的
calumny,n. 诽谤；中伤；诬蔑
domain,n. 领域；域名；产业；地产
dorsal,adj. 背部的；背的，背侧的
enervate,"adj. 衰弱的，无力的
vt. 使衰弱，使失去活力"
epicure,n. 老饕；美食家；享乐主义者
exculpate,vt. 开脱；使无罪
heterogeneous,adj.  多相的；异种的； 不均匀的；由不同成分形成的
infinitesimal,"adj. 无穷小的；无限小的；极小的
n. 无限小；极微量；极小量"
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
primeval,adj. 原始的；初期的（等于primaeval）
quintessence,n. 精华；典范；第五元素（被视为地、水、火、风以外之构成宇宙的元素）
serrated,"adj.  锯齿状的，有锯齿的
v. 使有锯齿（serrate的过去分词）"
veritable,adj. 真正的，名副其实的
acumen,n. 聪明，敏锐
apotheosis,n. 神化；崇拜，颂扬；尊奉为神
askew,"adj. 歪斜的
adv. 歪斜地，斜地"
chasten,vt. 惩罚；磨炼；抑制
demarcation,n. 划分；划界；限界
dictum,n. 格言；声明；法官的附带意见
erstwhile,"adj. 以前的；从前的；往昔的
adv. 以前；往昔地"
forte,"n. 长处；特长
adj. 强音的；响的
adv. 响亮地"
habitué,找不到解释
nonplus,"n. 迷惑；困惑
vt. 使困惑"
peripatetic,"n. 走来走去的人；逍遥学派的人
adj. 漫游的；逍遥学派的"
prodigal,"n. 浪子；挥霍者
adj. 挥霍的；十分慷慨的"
sycophant,"n. 谄媚者；奉承者
adj. 奉承的；拍马的"
vacuous,adj. 空的；空虚的；空洞的；无意义的
wraith,n. 幽灵；鬼魂；幻影
cacophony,n. 刺耳的音调；不和谐音
convoke,vt. 召集；召集…开会
filial,adj. 孝顺的；子女的，当做子女的
fractious,adj. 易怒的；倔强的，难以对待的
fulminate,"n. 雷酸盐；烈性炸药
vt. 使爆发；以严词谴责
vi. 爆炸；电闪；怒喝"
jocular,adj. 爱开玩笑的；打趣的；滑稽的
nugatory,adj. 无价值的；琐碎的；无效的；无法律效力的
obloquy,n. 毁谤；耻辱；谩骂
palpable,adj. 明显的；可感知的；易觉察的
parity,n. 平价；同等；相等；胎次；分娩
peruse,vt. 详细考察；精读
polemic,"n. 争论；辩论者
adj. 好争论的"
supplicate,"vt. 恳求，哀求；恳请
vi. 哀求；恳请；祈求"
temporize,vi. 拖延；妥协；顺应时势；迎合潮流
