live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
quite,adv. 很；相当；完全
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
airport,n. 机场；航空站
pupil,n. 学生； 瞳孔；未成年人
arrive,vi. 到达；成功；达成；出生
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
wardrobe,n. 衣柜；行头；全部戏装
show ... around,"v. 带…参观
 带……参观；四处参观；领…参观"
Queen's Park,找不到解释
art gallery,"n. 美术馆；艺术展览馆
 画廊；艺术画廊；艺廊"
public library,"na. 公立图书馆
 公共图书馆；大众图书馆；公用程序库"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
Lake Ontario,"n. 安大略湖
 加拿大安大略湖；安大略湖畔；湖边"
stadium,n. 体育场；露天大型运动场
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
idea,n. 想法；主意；概念
less,"adv. 较少地；较小地；更小地
adj. 较少的；较小的
prep. 减去
n. 较少；较小"
at least,"na. 至少
 最低限度；起码；最少"
talk about,"na. 讲(某事)
 谈论；讨论；谈到"
hockey,n. 曲棍球；冰球
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
beaver,n. 海狸；海狸皮毛
raccoon,n. 浣熊；浣熊毛皮
moose,"n.  驼鹿；麋
"
countryside,n. 农村，乡下；乡下的全体居民
Thanksgiving,找不到解释
roast turkey,"n. 烤火鸡
 烧火鸡；烤火鸡肉；烤鸡"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
wild goose,"na. 雁
 大雁；野鹅；雁与守林者"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
English-Chinese dictionary,找不到解释
shopping centre,"n. 购物中心（集中一批商店，有时在同一建筑物内）
 商业区；商场；商业中心"
shopping mall,"un. 商业区林荫路
 购物中心；大型购物中心；商场"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
hot pot,"na. 马铃薯炖牛肉
 火锅；火锅类；煲仔类"
