by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
science,n. 科学；技术；学科；理科
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
museum,n. 博物馆
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
post office,"n. 邮局；邮政部门；邮政系统；邮差敲门游戏（儿童用假托的信件换取亲吻）
 邮政局；邮电局；邮政署"
bus,"n. 公共汽车
乘公共汽车"
bookstore,n. 书店（等于bookshop）
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
cinema,n. 电影；电影院；电影业，电影制作术
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
hospital,n. 医院
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
subway,"n. 地铁；地道
vi. 乘地铁"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
go to school,"na. 到校上课；上学去；开始求学
 去上学；去学校；到学校去"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
sir,n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
traffic light,"n. 交通信号灯；红绿灯
 交通灯；交通号志；爱情信号灯"
interesting,adj. 有趣的；引起兴趣的，令人关注的
traffic rule, 交通规则；交通级级；交通规则--揣费可入尔
Italian,"n. 意大利人；意大利语
adj. 意大利的；意大利文化的；意大利语的"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
restaurant,n. 餐馆； 饭店
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
street,"n. 街道
adj. 街道的"
get to,"na. 接触到；开始；收买
 到达；表示到达；找到"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
GPS,找不到解释
difference,n. 差异；不同；争执
gave,v. 给予（give的过去式）
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
every,adj. 每一的，每个的；每隔…的
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
always,adv. 永远，一直；总是；常常
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
