taller,adj. 更高的；高一点的
younger,"n. 年纪较小者；幼辈
adj. 较年轻的"
shorter,adj. 较短的；更短的；更矮的（short的比较级）
older,adj. 年长的；较旧的
stronger,adj. 更强壮的
taller,adj. 更高的；高一点的
older,adj. 年长的；较旧的
shorter,adj. 较短的；更短的；更矮的（short的比较级）
younger,"n. 年纪较小者；幼辈
adj. 较年轻的"
longer,长的（long的比较级）
cm,找不到解释
thinner,"adj. 较薄的；较瘦的；较细的（thin的比较级）
n. （油漆的）稀释剂；冲淡剂；使变稀薄者，加稀料的制漆工"
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
heavier,adj. 沉重的；巨大的
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
bigger,adj. 更大的（big的比较级）
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
smaller,adj. 较小，更小的
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
stronger,adj. 更强壮的
funnier,"滑稽的
有趣的（ funny的比较级 ）"
dinosaur,n. 恐龙；过时、落伍的人或事物
kg,abbr.  公斤（kilogram）
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
bigger,adj. 更大的（big的比较级）
metre,n. 米；公尺；韵律
heavier,adj. 沉重的；巨大的
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
longer,长的（long的比较级）
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
thinner,"adj. 较薄的；较瘦的；较细的（thin的比较级）
n. （油漆的）稀释剂；冲淡剂；使变稀薄者，加稀料的制漆工"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
smaller,adj. 较小，更小的
kilogram,n. 公斤；千克
feet,n. 脚（foot的复数形式）；尺；韵脚
countryside,n. 农村，乡下；乡下的全体居民
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
smarter,adj. 聪明的；精明的（smart的比较级）
ton,n. 吨；很多，大量
become,"vt. 适合；相称
vi. 成为；变得；变成"
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
cleaned,"v. 打扫（clean的过去式）；把…弄干净
adj. 净化的"
squid,n. 鱿鱼；乌贼；枪乌贼
stayed,v. 停留，制止（stay的过去分词形式）
lobster,"n. 龙虾
龙虾肉"
washed,"v. 洗，洗涤（wash的过去分词）
adj. 洗过的"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
watched,"vt. 观察；注视；看守；警戒
n. 手表；监视；守护；值班人
vi. 观看，注视；守侯，看守"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
had,"v. 有；吃；得到（动词have的过去式和过去分词）
aux. 已经（用于过去完成时和过去完成进行时）"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
had a cold,"vbl.伤风,感冒"
sperm whale,巨头鲸； 抹香鲸（等于Physeter catodon）
slept,v. 睡觉（sleep的过去式和过去分词）
killer whale,"n. 虎鲸；逆戟鲸；恶鲸；杀人鲸
 杀手鲸；倒戟鲸；虎鲸逆戟鲸"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
have a fever,"n. 发烧
 发热；发烧了；发高烧"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
yesterday,"n. 昨天；往昔
adv. 昨天"
have a cold,"na. 伤风
 感冒；患感冒；受凉"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
have a toothache, 牙疼；牙痛；患牙痛
drank,v. 喝；喝酒（drink的过去式）
have a headache, 头痛；头疼；患头痛
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
have a sore throat, 喉咙疼；喉咙痛；嗓子痛
magazine,n. 杂志；弹药库；胶卷盒
matter,"n. 物质；事件
vi. 有关系；要紧"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
faster,"adj. 更快的
adv. 更快地"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
flu,n. 流感
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
went,v. 去，过去（go的过去式）
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
went camping,找不到解释
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
went fishing,找不到解释
soon,adv. 快；不久，一会儿；立刻；宁愿
rode,v. 骑（ride的过去式）
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
ate,v. 吃（eat的过去式）
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
took,v. 拿；取；接受（take的过去式）
happy,adj. 幸福的；高兴的；巧妙的
took pictures,"vbl.照像,摄影"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
bought,v. 买（buy的过去式和过去分词）
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
