classroom,n. 教室
window,n. 窗；窗口；窗户
blackboard,n. 黑板
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
door,n. 门；家，户；门口；通道
teacher's desk, 讲台；讲桌；讲台桌
computer,n. 计算机；电脑；电子计算机
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
wall,"n. 墙壁，围墙；似墙之物
adj. 墙壁的
vt. 用墙围住，围以墙"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
TV,abbr. 电视（television）
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
schoolbag,n. 书包
maths book,找不到解释
English book,找不到解释
Chinese book,找不到解释
storybook,n. 故事书；小说
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
notebook,n. 笔记本，笔记簿；手册
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
wow,"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀"
lost,"adj. 失去的；丧失的；迷惑的
v. 遗失（lose的过去分词）；失败"
so much,"na. 和…一样多；就只那么多；多少
 非常；这么多；如此多"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
his,pron. 他的
or,conj. 或，或者；还是
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
kitchen,n. 厨房；炊具；炊事人员
bathroom,n. 浴室；厕所；盥洗室
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
sofa,n. 沙发；长椅
fridge,n. 电冰箱
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
them,pron. 他们；它们；她们
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
noodles,n. 面条，挂面（noodle的复数形式)
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
chopsticks,n. 筷子
