will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
won't,厌恶；不能容忍；= will not
they'll,（等于they will）
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
fewer,"adj. 较少的
int. 较少数
pron. 较少数"
pollution,"n. 污染
污染物"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
she'll,等于she will；she shall
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
astronaut,n. 宇航员，航天员；太空旅行者
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
space station,"n. 太空站；航天站；宇宙空间站
 国际空间站；空间电台；宇宙站"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
took,v. 拿；取；接受（take的过去式）
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
I'll,我将，我会（=I shall）
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
fell,"n.  一季所伐的木材；折缝；兽皮
v. 掉下；摔倒；下垂；变坏（fall的过去式）
adj. 凶猛的；毁灭性的
vt. 砍伐；打倒；击倒"
fall in love with,"na. 爱上
 爱上某人；与……相爱；爱上某物"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
probably,adv. 大概；或许；很可能
go skating, 去滑冰；去溜冰；滑雪
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
able,adj. 能； 有能力的；能干的
be able to,"v. 能够
 会；有能力做某事；强调有能力"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
casually,adv. 随便地；偶然地；临时地
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
the World Cup,"n. 世界杯比赛（通常为几年一度）
 世界杯赛；世界杯锦标赛；摄影世界杯"
wrote,v. 写（write的过去式）
myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prediction,n. 预报；预言
came,v. come的过去式
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
strategy,n. 战略，策略
fiction,n. 小说；虚构，编造；谎言
unpleasant,adj. 讨厌的；使人不愉快的
scientist,n. 科学家
in the future,"adv. 今后
 将来；在将来；在未来"
hundreds of,"na. 好几百
 数以百计的；成百上千；成百上千的"
already,adv. 已经，早已；先前
made,"adj. 成功的；创造的
v. 做，使，安排（make的过去式和过去分词）"
factory,n. 工厂；制造厂；代理店
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
such,adj. 这样的，如此的
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
everywhere,"n. 每个地方
adv. 到处"
human,"n. 人；人类
adj. 人的；人类的"
huge,adj. 巨大的；庞大的；无限的
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
earthquake,n. 地震；大动荡
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
toothbrush,n. 牙刷
seem,vi. 似乎；像是；装作
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
housework,n. 家务事
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
Alexis,找不到解释
keep out,"v. 防止进入；阻止；不参加
 禁止入内；遮挡；使…不入内"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
What's wrong?,找不到解释
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
out of style,"na. 没有样子；“in/out of style”的变体
 过时的；不时髦；不时髦的"
could,"aux. 能够
v. 能（can的过去式）"
call sb. up,"na. 传；动员；打电话给；呼唤
 召集；使想起；召唤"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
on the phone,"un. 正在打电话
 用电话交谈；在电话里；在电话中"
What's the matter?,怎么回事?怎么啦?
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
part-time job, 半日工作; 兼职
okay,"adv. 可以；对；很好地
adj. 可以；对；不错
n. 同意，批准
int. 好；行"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
bake sale,"n. 烤饼义卖（为学校或慈善事业等募集资金）
 面包或糕饼的售卖活动；面包或糕饼售买活动；蛋糕房"
Teen Talk,找不到解释
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
the same as,"adj. 与…同样
 与…相同；与…一样；和……相同"
in style,"na. 有样子；“in/out of style”的变体
 时髦的；流行的；别具风格的"
haircut,n. 理发；发型
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
get on,"na. 上马；安上；过日子；相投 (with together)
 上车；进展；相处"
didn't,aux. did not的缩写
couldn't,v. 不能（等于could not）
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
until,"prep. 在…以前；到…为止
conj. 在…以前；直到…时"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
fit ... into ...,找不到解释
as ... as possible,找不到解释
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
include,vt. 包含，包括
pushy,adj. 有进取心的；爱出风头的；有冲劲的；固执己见的
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
all kinds of,"na. 种种
 各种各样的；表示各种各样的；各种各类的"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
crazy,adj. 疯狂的；狂热的，着迷的
themselves,pron. 他们自己；他们亲自
