off and on,"na. 断断续续；偶尔；(航海)时而靠岸时而离岸地；不规则地
 断断续续地；间歇地；不时地"
take hold,"un. 抓住
 固定下来；生根；扛着"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
assignment,n. 分配；任务；作业；功课
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
agony,n. 苦恼；极大的痛苦；临死的挣扎
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
anticipate,vt. 预期，期望；占先，抢先；提前使用
cheerless,adj. 阴郁的；惨淡的，无精打采的
tedious,adj. 沉闷的；冗长乏味的
reputation,n. 名声，名誉；声望
inability,n. 无能力；无才能
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
excessively,adv. 过分地；极度
excessive,adj. 过多的，极度的；过分的
prim,"adj. 拘谨的；整洁的；呆板的
vt. 使显得一本正经；把…打扮得整整齐齐
vi. 显得一本正经"
primly,adv. 拘谨地
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
wavy,adj. 多浪的；波动起伏的
necktie,n. 领带
pointed,"v. 指出；瞄准（point的过去式）
adj. 尖的；突出的；锐利的；率直的"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
distribute,vt. 分配；散布；分开；把…分类
finally,adv. 最后；终于；决定性地
face up to,"na. 大胆面向；正面对付；同“face”
 勇敢地面对某事；大胆面对；勇敢地对付"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
spaghetti,n. 意大利式细面条
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
