sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
or,conj. 或，或者；还是
basketball,n. 篮球；篮球运动
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
difficult,adj. 困难的；不随和的；执拗的
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
healthy,adj. 健康的，健全的；有益于健康的
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
often,adv. 常常，时常
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
hour,n. 小时；钟头；课时；…点钟
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
swam,v. 游泳（swim的过去式）
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
clever,"adj. 聪明的；机灵的；熟练的
"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
got,v. 得到，明白（get的过去式和过去分词）
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
begin,"vi. 开始；首先
vt. 开始"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
early,"adj. 早期的；早熟的
adv. 提早；在初期"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
every,adj. 每一的，每个的；每隔…的
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
good-bye,"n. 告辞
int. 再见"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
