mother tongue,"n. 母语；本国语
 本族语；本国语言；母语式"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
output,"n. 输出，输出量；产量；出产
vt. 输出"
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
accuracy,n.  精确度，准确性
punctuation,n. 标点；标点符号
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
thankful,adj. 感谢的；欣慰的
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
liberty,n. 自由；许可；冒失
the Statue of Liberty,"na. (美国纽约的)自由女神铜像
 自由女神像；深圳的自由女神像；关岛的自由女神像"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
cafeteria,n. 自助餐厅
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
global,adj. 全球的；总体的；球形的
decade,n. 十年，十年期；十
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
absence,n. 没有；缺乏；缺席；不注意
theory,n. 理论；原理；学说；推测
acquisition,n. 获得物，获得；收购
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
curriculum,"n. 课程
总课程"
adequate,adj. 充足的；适当的；胜任的
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
ensure,vt. 保证，确保；使安全
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
dedication,n. 奉献；献身；赠言
dedicated,"adj. 专用的；专注的；献身的
v. 以…奉献；把…用于（dedicate的过去式和过去分词）"
manual,"adj. 手工的；体力的
n. 手册，指南"
theft,n. 盗窃；偷；赃物
announcement,n. 公告；宣告；发表；通告
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
cream,n. 奶油，乳脂；精华；面霜；乳酪
razor,"n. 剃刀
vt. 剃，用剃刀刮"
catch on,"na. 流行；受欢迎；理解；懂得
 明白；流行起来；变得流行"
for ages,"na. 久远
 很久；很长时间；好久"
brochure,n. 手册，小册子
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
congratulate,vt. 祝贺；恭喜；庆贺
explicit,adj. 明确的；清楚的；直率的；详述的
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
upwards,adv. 向上；在上部；向上游
upper,adj. 上面的，上部的；较高的
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
resemble,vt. 类似，像
transparent,adj. 透明的；显然的；坦率的；易懂的
unrest,n. 不安；动荡的局面；不安的状态
merely,adv. 仅仅，只不过；只是
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
ambiguous,adj. 模糊不清的；引起歧义的
offence,n. 犯罪；违反；过错；攻击
approval,n. 批准；认可；赞成
bent,"n. 爱好，嗜好
adj. 弯曲的；决心的"
applicant,n. 申请人，申请者；请求者
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
registration,n. 登记；注册；挂号
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
marketing,"n. 行销，销售
v. 出售；在市场上进行交易；使…上市（market的ing形式）"
overview,n.  综述；概观
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
candidate,n. 候选人，候补者；应试者
cheers,v. 感谢；谢谢；再见
diagram,"n. 图表；图解
vt. 用图解法表示"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
booth,n. 货摊；公用电话亭
barbershop,"n. 理发店
adj. 有男声合唱之和声的"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
stewardess,n. 女管家；女干事；女服务员
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
bingo,n. 宾戈游戏
haircut,n. 理发；发型
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
sincerely,adv. 真诚地；由衷地，诚恳地
embarrass,vt. 使局促不安；使困窘；阻碍
punctual,adj. 准时的，守时的；精确的
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
I bet, 我敢打赌；我敢说；我肯定
academy,n. 学院；研究院；学会；专科院校
Academy of Arts,找不到解释
algebra,n. 代数学
geometry,"n. 几何学
几何结构"
bacteria,n.  细菌
software,n. 软件
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
radiation,n. 辐射；发光；放射物
radium,n.  镭（88号元素符号Ra）
radioactive,adj.  放射性的；有辐射的
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
emotional,adj. 情绪的；易激动的；感动人的
technical,adj. 工艺的，科技的；技术上的；专门的
