globalisation,n. 全球化，=globalization
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
ethnic,adj. 种族的；人种的
non-native,"adj. 非本地；非原生
n. 外乡人"
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
investor,n. 投资者
multi-ethnic,"多种族的
多民族的"
emigration,n. 移民；移民出境；移居外国
immigration,n. 外来移民；移居
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
Americanisation,找不到解释
deprive,vt. 使丧失，剥夺
come to the fore,"na. 发作；惹人注意
 涌现出来；站到前面，涌现，出现；进入前列"
subcontinent,n. 次大陆
uniqueness,n. 独特性；独一无二；单值性
opposing,"adj. 反对的；相对的；对面的
v. 反对（oppose的ing形式）"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
likewise,adv. 同样地；也
infectious,adj. 传染的；传染性的；易传染的
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
youngster,n. 年轻人；少年
headset,n. 耳机；头戴式受话器
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
multi-storey,adj. 多层的
lane,n. 小巷； 航线；车道；罚球区
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
episode,n. 插曲；一段情节；插话；有趣的事件
high-rise,"n. 高楼；大厦
adj. 高楼的；超高层的"
unimaginable,adj. 不可思议的；难以想像的
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
simplify,vt. 简化；使单纯；使简易
controller,n. 控制器；管理员；主计长
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
Applied Linguistics,找不到解释
subsequent,adj. 后来的，随后的
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
intelligible,adj. 可理解的；明了的；仅能用智力了解的
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
Arabic,"n. 阿拉伯语
adj. 阿拉伯的；阿拉伯人的"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
patronise,vt. 以高人一等的态度对待; 光顾，惠顾
drawback,n. 缺点，不利条件；退税
consideration,n. 考虑；原因；关心；报酬
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
syllabus,n. 教学大纲，摘要；课程表
monolingual,"adj. 单语的；仅用一种语言的；仅懂一种语言的
n. 只用一种语言的人"
mathematical,adj. 数学的，数学上的；精确的
spatial,adj. 空间的；存在于空间的；受空间条件限制的
geometry,"n. 几何学
几何结构"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
fund,"n. 基金；资金；存款
vt. 投资；资助"
monetary,adj. 货币的；财政的
International Monetary Fund,"na. (联合国)国际货币基金组织
 国际货币基金会；国际货币组织；世界货币基金组织"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
marcher,n. 行进者，游行者
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
Hindu,"n. 印度人；印度教教徒
adj. 印度教的；印度的"
Maha Kumbh Mela,找不到解释
commemorate,vt. 庆祝，纪念；成为…的纪念
mythological,adj. 神话的；神话学的；虚构的
confer,"vt. 授予；给予
vi. 协商"
immortality,n. 不朽；不朽的声名；不灭
sadhu,n. 圣人（等于saddhu）；苦行僧
simplicity,n. 朴素；简易；天真；愚蠢
chariot,"n. 二轮战车
vt. 驾驭（过去式charioted，过去分词charioted，现在分词charioting，第三人称单数chariots）
vi. 乘战车；驾驭战车"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
wipe away,"v. 擦去；擦掉
 清楚掉；抹去；擦干"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
downpour,n. 倾盆大雨；注下
douse,"vt. 插入水中；弄湿；弄熄；急速收帆；脱掉（衣鞋等）
vi. 浸泡
n. 泼洒"
bushfire,n. 林区大火
fortnight,n. 两星期
evacuation,n. 疏散；撤离；排泄
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
telecom,n. 电信，远距通信；电讯
telecommunication,n. 电讯； 远程通信；无线电通讯
geographical,adj. 地理的；地理学的
boundary,n. 边界；范围；分界线
highly,adv. 高度地；非常；非常赞许地
the World Wireless Forum,找不到解释
mobility,n. 移动性；机动性； 迁移率
freelancer,n. 自由记者；自由作家
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
ownership,n. 所有权；物主身份
vague,adj. 模糊的；含糊的；不明确的；暧昧的
countless,adj. 无数的；数不尽的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
long for,"v. 渴望
 盼望；思慕；思念"
relieved,"v. 减轻；解除（relieve的过去分词）
adj. 放心的"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
insecure,adj. 不安全的；不稳定的；不牢靠的
shattered,"v. 打碎；削弱；使心烦意乱（shatter的过去分词）
adj. 破碎的；极度疲劳的"
disillusioned,"v. 使幻想破灭（disillusion的过去分词）；唤醒
adj. 醒悟的；幻想破灭的；不抱幻想的"
let down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
sprain,"n. 扭伤
vt. 扭伤"
disallow,vt. 驳回，不接受；不准许
out of the blue,"un. 难得到的；突然；突如其来；出人意料
 出乎意料；突然地；一日狂徒"
intend,"vi. 有打算
vt. 打算；想要；意指"
punchline,n. 结尾警语；妙语如珠
grizzly,"n. 灰熊
adj. 灰色的"
passion,n. 激情；热情；酷爱；盛怒
caveman,n. （史前石器时代的）穴居人；野人
playwright,n. 剧作家
statesman,n. 政治家；国务活动家
habit-forming,adj. （尤指药物毒品等）易上瘾的；易成习惯的
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
juggler,n. 变戏法的人；玩杂耍的人；骗子
packed,"adj. （常用来构成复合词）充满…的，塞满了…的
v.  包装（pack的过去分词）"
blazing,"adj. 燃烧的；强烈的；闪耀的
adv. 非常
v. 燃烧；闪耀；迸发；公开（blaze的ing形式）"
hesitant,adj. 迟疑的；踌躇的；犹豫不定的
squint,"n. 斜视；斜孔小窗；一瞥
adj. 斜视的；斜的
vt. 使斜眼；眯眼看
vi. 眯眼看；斜视；窥视；偏移"
wildly,adv. 野生地；野蛮地；狂暴地；鲁莽地
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
mystified,"adj. 困惑的
v. 使迷惑（mystify的过去分词）；使难解"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
amusement,n. 消遣，娱乐；乐趣
desperation,n. 绝望的境地；不顾一切拼命
onwards,adv. 向前；在前面
beg for,"na. 乞
 乞求；乞求得到；乞求什么东西"
messy,adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
wit,"n. 智慧；才智；智力
v. <古>知道；即"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
heartbroken,adj. 悲伤的，伤心的
belongings,n.  财产，所有物；亲戚
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
majesty,n. 威严；最高权威，王权；雄伟；权威
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
sideboard,n. 餐具柜；侧板，边线界墙
jester,n. （中世纪宫廷或贵族家中的）小丑；爱开玩笑的人
astonishment,n. 惊讶；令人惊讶的事物
carefree,adj. 无忧无虑的；不负责的
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
for sure,"adv. 确实
 肯定地；确切地；毫无疑问"
unforgettable,adj. 难忘的
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
unbutton,"vt. 解开钮扣
vi. 解开钮扣；吐露"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
undisturbed,adj. 安静的；镇定的；未被扰乱的；泰然自若的
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
presently,adv. （美）目前；不久
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
promptly,adv. 迅速地；立即地；敏捷地
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
astride,"prep. 跨在…上；在…两旁；跨越（一个地区或时代）
adj. 跨着的；两腿分开着的
adv. 跨着；两腿分开着"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
relive,"vt. 再体验
vi. 复活；再生"
good manners,"na. 有礼貌
 礼貌行为；良好的礼仪；良好的习惯"
disrespectful,adj. 无礼的；失礼的；不尊敬的
revolting,"adj. 叛乱的；背叛的；讨厌的
v. 反叛，造反；起反感（revolt的现在分词形式）"
gentlemanly,adj. 绅士的，绅士派头的
unhygienic,adj. 不卫生的；不健康的
unprofessional,adj. 非职业性的，非专业的；外行的
misinterpreted,vt. 曲解，误解
