lawyer,n. 律师；法学家
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
physician,n.  医师；内科医师
architect,"n. 建筑师
缔造者"
receptionist,n. 接待员；传达员
dentist,"n. 牙科医生
牙医诊所"
chef,n. 厨师，大师傅
butcher,"n. 屠夫
vt. 屠杀"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
consultant,n. 顾问；咨询者；会诊医生
librarian,n. 图书馆员；图书管理员
operator,n. 经营者；操作员；话务员；行家
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
salesman,n. 推销员；售货员
saleswoman,n.  女售货员； 女店员
fascinated,"v. 使着迷；使陶醉（fascinate的过去分词）
adj. 着迷的；被深深吸引的"
department,n. 部；部门；系；科；局
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
economy,n. 经济；节约；理财
administration,n. 管理；行政；实施；行政机构
management,n. 管理；管理人员；管理部门；操纵；经营手段
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
client,n.  客户；顾客；委托人
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
CV,找不到解释
bachelor's degree, 学士学位；本科学位；本科学历
master's degree, 硕士学位；硕士学位课程；研究生专业
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
intelligent,adj. 智能的；聪明的；理解力强的
quotient,n.  商；系数；份额
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
deserve,"vi. 应受，应得
vt. 应受，应得"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
association,n. 协会，联盟，社团；联合；联想
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
disability,n. 残疾；无能；无资格；不利条件
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
solely,adv. 单独地，唯一地
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
financial,adj. 金融的；财政的，财务的
logical,adj. 合逻辑的，合理的；逻辑学的
comprehension,n. 理解；包含
bio-technology,生物技术
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
AI,abbr. 人工智能（artificial intelligence）
artificial intelligence,"n. 人工智能
 人工智慧；人工智能专业研究生排名；人工知能"
motivated,"adj. 有动机的；有积极性的
v. 使产生动机；激发…的积极性（motivate的过去式和过去分词）"
footstep,n. 脚步；脚步声；足迹
follow in one's footsteps,照…的样子干，走…的道路
profession,n. 职业，专业；声明，宣布，表白
workshop,n. 车间；研讨会；工场；讲习班
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
retirement,n. 退休，退役
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
decent,adj. 正派的；得体的；相当好的
salary,"n. 薪水
vt. 给...加薪；给...薪水"
recipe,n. 食谱； 处方；秘诀；烹饪法
innovator,n. 改革者，创新者
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
occupation,n. 职业；占有；消遣；占有期
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
outsource,"vt. 把…外包
vi. 外包"
retrain,"vt. 重新教育；再教育
vi. 再训练；再教育"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
likelihood,n. 可能性，可能
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
employer,n. 雇主，老板
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
photographer,n. 摄影师；照相师
column,n. 纵队，列；专栏；圆柱，柱形物
applicant,n. 申请人，申请者；请求者
enclose,vt. 围绕；装入；放入封套
journalist,n. 新闻工作者；报人；记日志者
elderly,adj. 上了年纪的；过了中年的；稍老的
district,n. 区域；地方；行政区
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
respectfully,adv. 尊敬地
option,n.  选项；选择权；买卖的特权
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
fiction,n. 小说；虚构，编造；谎言
poetry,n. 诗；诗意，诗情；诗歌艺术
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
detective,"n. 侦探
adj. 侦探的"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
stimulating,"v. 刺激；激励；促进（stimulate的ing形式）
adj. 刺激的；有刺激性的"
absorbing,"v. 吸收（absorb的ing形式）
adj. 吸引人的；极有趣的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
subjective,adj. 主观的；个人的；自觉的
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
literary,adj. 文学的；书面的；精通文学的
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
historical,adj. 历史的；史学的；基于史实的
era,n. 时代；年代；纪元
shelf,n. 架子；搁板；搁板状物；暗礁
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
registration,n. 登记；注册；挂号
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
unseen,"n. （事前未看过原文的）即席翻译
adj. 看不见的，未看见的；未经预习的"
pneumonia,n. 肺炎
icy,adj. 冰冷的；冷淡的；结满冰的
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
backwards,adv. 倒；向后；逆
ivy,"n. 常春藤
adj. 常春藤联盟的"
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
disbelief,n. 怀疑，不信
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
janitor,"n. 看门人；守卫；门警
n. 清洁工"
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
downy,adj. 柔和的；绒毛的；多丘岗的
flake,"n. 小薄片；火花
vt. 使…成薄片；将…剥落
vi. 剥落；成片状剥落"
daffodil,"n. 水仙花
adj. 水仙花色的"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
vale,"n. 谷；溪谷
int. 再见；再会"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
continuous,adj. 连续的，持续的；继续的；连绵不断的
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
sprightly,"adj. 活泼的；愉快的
adv. 活泼地"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
sparkling,"adj. 闪闪发光的，闪烁的；起泡沫的
v. 闪耀；发出火花；起泡沫（sparkle的ing形式）"
glee,n. 快乐；欢欣；重唱歌曲
poet,n. 诗人
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
jocund,adj. 快活的；高兴的
gaze,"n. 凝视；注视
vi. 凝视；注视"
oft,adv. 常常；再三
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
pensive,adj. 沉思的，忧郁的；悲伤的，哀愁的
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
bliss,"n. 极乐；天赐的福
vt. 使欣喜若狂
vi. 狂喜
n. 必列斯（化妆品品牌）"
solitude,n. 孤独；隐居；荒僻的地方
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
violent,adj. 暴力的；猛烈的
recollection,n. 回忆；回忆起的事物
desperation,n. 绝望的境地；不顾一切拼命
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
preservation,n. 保存，保留
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
chest,n. 胸，胸部；衣柜；箱子；金库
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
weapon,n. 武器，兵器
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
evidently,adv. 显然，明显地；清楚地
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
polished,"v. 擦亮（polish的过去式和过去分词）
adj. 擦亮的；优美的；圆滑的"
construction,n. 建设；建筑物；解释；造句
daybreak,n. 黎明；破晓
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
continuation,n. 继续；续集；延长；附加部分；扩建物
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
seaman,n. 海员，水手；水兵
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
take ... for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
emotional,adj. 情绪的；易激动的；感动人的
scholar,n. 学者；奖学金获得者
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
handkerchief,n. 手帕；头巾，围巾
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
biology,n. （一个地区全部的）生物；生物学
capability,n. 才能，能力；性能，容量
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
infer,"vi. 推断；作出推论
vt. 推断；推论"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
physicist,n. 物理学家；唯物论者
athletics,n. 竞技；体育运动；田径运动
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
betterment,n. 改善，改进；改良；涨价
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
resilience,n. 恢复力；弹力；顺应力
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
doping,"n. 使用(或服用)兴奋剂；(在半导体材料中)掺杂(质)；上涂料
v. （dope的ing形式）给…服用毒品; 强迫…吸毒"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
edit,"vt. 编辑；校订
n. 编辑工作"
gene,n.  基因，遗传因子
artificially,adv. 人工地；人为地；不自然地
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
mammal,n.  哺乳动物
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
forever,adv. 永远；不断地；常常
primate,"n. 大主教；灵长类的动物；首领
adj. 灵长目动物的；首要的"
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
comparison,n. 比较；对照；比喻；比较关系
reproductive,adj. 生殖的；再生的；复制的
wholly,adv. 完全地；全部；统统
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
accurate,adj. 精确的
treatment,n. 治疗，疗法；处理；对待
provoke,vt. 驱使；激怒；煽动；惹起
emotion,n. 情感；情绪
crucial,adj. 重要的；决定性的；定局的；决断的
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
atom,n. 原子
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
organ,n.  器官；机构；风琴；管风琴；嗓音
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
crossword,n. 纵横字谜；纵横填字谜（等于cross puzzle）
zone,  地带、地区（德语）
junk food,"n. 垃圾食品
 垃圾食物；没有营养的食品；没有营养的垃圾食品"
intake,n. 摄取量；通风口；引入口；引入的量
omega,"n. 最后；终了；希腊字母的最后一个字Ω
n. 欧米茄（品牌名称）"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
virus,n.  病毒；恶毒；毒害
variation,n. 变化； 变异，变种
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
bacteria,n.  细菌
officially,adv. 正式地；官方地；作为公务员
classify,vt. 分类；分等
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
baseline,n. 基线；底线
opposed,"adj. 相反的；敌对的
v. 反对（oppose的过去分词）；使对立"
widespread,adj. 普遍的，广泛的；分布广的
classification,n. 分类；类别，等级
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
depressing,adj. 压抑的；使人沮丧的
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
CE,abbr. 化学工程师（Chemical Engineer）；总工程师（Chief Engineer）；土木工程师（Civil Engineer）；英国国教（Church of England）；欧洲理事会（Council of Europe）
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
symptom,n.  症状；征兆
bury,vt. 埋葬；隐藏
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
lung,n. 肺；呼吸器
steadily,adv. 稳定地；稳固地；有规则地
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
actual,adj. 真实的，实际的；现行的，目前的
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
thorough,adj. 彻底的；十分的；周密的
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
symbolically,adv. 象征性地；象征意义地
phenomenon,n. 现象；奇迹；杰出的人才
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
database,n. 数据库，资料库
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
victim,n. 受害人；牺牲品；牺牲者
astronomer,n. 天文学家
