according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
author,"n. 作者；作家；创始人
vt. 创作出版"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
relationship,n. 关系；关联
avoid,vt. 避免；避开，躲避；消除
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
include,vt. 包含，包括
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
system,n. 制度，体制；系统；方法
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
product,n. 产品；结果； 乘积；作品
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
encourage,vt. 鼓励，怂恿；激励；支持
available,adj. 可获得的；可购得的；可找到的；有空的
ability,n. 能力，能耐；才能
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
effort,n. 努力；成就
economic,adj. 经济的，经济上的；经济学的
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
maintain,vt. 维持；继续；维修；主张；供养
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
statement,n. 声明；陈述，叙述；报表，清单
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
infer,"vi. 推断；作出推论
vt. 推断；推论"
behavior,n. 行为，举止；态度；反应
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
