nice,adj. 精密的；美好的；细微的；和蔼的
always,adv. 永远，一直；总是；常常
a bit,"na. 有点儿
 一点儿；稍微；有一点"
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
e-card,n. 电子贺卡；电子名片
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
him,pron. 他（宾格）
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
twenty,"num. 二十
n. 二十；二十年代
adj. 二十的"
helpful,adj. 有帮助的；有益的
maths,n. 数学（等于mathematics）
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
river,n. 河，江
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
you'll,你将（you will）
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
won't,厌恶；不能容忍；= will not
will not,找不到解释
countryside,n. 农村，乡下；乡下的全体居民
farmer,n. 农夫，农民
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
lots of,"adj. 许多；很多
 大量；大量的；许多的"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
have breakfast, 吃早饭；吃早餐；吃早点
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
tea party,"n. 茶话会；(下午) 茶会；在美国各地抗议高额税收
 茶党；茶叶党；茶聚"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
fourteen,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪"
sixteen,"num. 十六
adj. 十六的，十六个的"
eighteen,"n. 十八，十八个
num. 十八
adj. 十八个的，十八的"
