nice,adj. 精密的；美好的；细微的；和蔼的
clever,"adj. 聪明的；机灵的；熟练的
"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
a bit,"na. 有点儿
 一点儿；稍微；有一点"
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
aunt,n. 阿姨；姑妈；伯母；舅妈
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
city,"n. 城市，都市
adj. 城市的；都会的"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
whose,pron. 谁的（疑问代词）
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
famous,adj. 著名的；极好的，非常令人满意的
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
one day,"na. 有一天；(过去或将来的)某一天
 真爱挑日子；情约一天；总有一天"
housework,n. 家务事
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
our,pron. 我们的
homework,n. 家庭作业，课外作业
won't,厌恶；不能容忍；= will not
will not,找不到解释
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
have,"aux. 已经
vt. 有；让；拿；从事；允许"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
week,n. 周，星期
holiday,"n. 假日；节日；休息日
vi. 外出度假"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
picnic,"n. 野餐
vi. 去野餐"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
why,"int. 哎呀！什么？
adv. 为什么"
Why not?,找不到解释
because,conj. 因为
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
cloudy,adj. 多云的；阴天的；愁容满面的
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
was,be的第一和第三人称单数过去式
am,找不到解释
is,"v. 是（be的三单形式）
n. 存在"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
were,v. 是，在（are的过去式）
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
