amongst,prep. 在…之中；在…当中（等于among）
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
cafeteria,n. 自助餐厅
captivate,vt. 迷住，迷惑
chandelier,n. 枝形吊灯
cuisine,n. 烹饪，烹调法
definitely,adv. 清楚地，当然；明确地，肯定地
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
dine,"vi. 进餐，用餐
vt. 宴请"
diversity,n. 多样性；差异
down-to-earth,adj. 实际的；现实的
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
ethnicity,n. 种族划分
expository,adj. 说明的；解释的；评注的（等于expositive）
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
freshman,n. 新手，生手；大学一年级学生
gaze,"n. 凝视；注视
vi. 凝视；注视"
gorgeous,adj. 华丽的，灿烂的；极好的
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
historic,adj. 有历史意义的；历史上著名的
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
impeccably,"无可挑剔地
毋庸置疑地
无瑕疵地
完美地"
incredible,adj. 难以置信的，惊人的
involve,vt. 包含；牵涉；使陷于；潜心于
lofty,adj. 高的；崇高的；高级的；高傲的
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
moreover,adv. 而且；此外
musical,"adj. 音乐的；悦耳的
n. 音乐片"
portrait,n. 肖像；描写；半身雕塑像
profound,adj. 深厚的；意义深远的；渊博的
publication,n. 出版；出版物；发表
remarkable,adj. 卓越的；非凡的；值得注意的
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
skylight,n. 天窗
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
ultimately,adv. 最后；根本；基本上
vibrantly,adv. 充满活力地
be filled with, 充满；装满；充满着
be proud of,"na. 以…自豪
 为…自豪；骄傲；以……为骄傲"
blow away,"na. 吹走；用枪杀死某人；震惊；主要用于美式英语
 刮走；吹散；吹跑"
get involved in,"un. 患病；参加
 卷入；参与；涉及"
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
move into,"v. 迁居
 搬进；搬进去了；进入"
only to do, 结果；表示出乎意料的结果；结果却
share ... with,"un. 合伙；合住；承担；跟…看法一致
 分享；与…分享；共用"
take a course,"na. 采一定航路
 选课；学一门课程；修课程"
think ... to oneself,找不到解释
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
avoid,vt. 避免；避开，躲避；消除
behavior,n. 行为，举止；态度；反应
bewilderingly,adv. 令人困惑地；使人迷乱地
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
brand-new,adj. 崭新的；最近获得的
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
eclectic,"n. 折衷派的人；折衷主义者
adj. 折衷的；选择的；折衷学派的
adj. 不拘一格的"
edition,"n. 版本
版次
集"
