childishly,adv. 天真地，幼小地；幼稚地
insist,"vi. 坚持，强调
vt. 坚持，强调"
nationalistic,adj. 民族主义的；国家的
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
broad jump,"na. 跳远
 立定跳远；跳远障碍；预跳"
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
turn out to be, 证明是；结果是；原来是
exception,n. 例外；异议
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
take-off,n. 起飞
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
disgustedly,adv. 厌烦地
dirt,n. 污垢，泥土；灰尘，尘土；下流话
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
slang,"n. 俚语；行话
adj. 俚语的
vt. 用俚语说
vi. 用粗话骂"
take pains,"na. 费苦心；尽力
 煞费苦心；下苦功；操心"
reassure,vt. 使…安心，使消除疑虑
proceed to,"un. 前进；继续进行:
 着手；继续完成某事；前往"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
at the instant, 冰上就瞬间
glare at,"v. 怒目而视
 怒视；向人瞪眼；瞪着"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
plating,"n. 电镀；镀层
v. 电镀（plate的现在分词）"
carat,n. 克拉（等于karat）
at the moment,"na. “for the moment”的变体
 此刻；现在；目前"
have sth. in mind,"na. 记住；铭记不忘；注意
 考虑到；想到；记得"
have sb. in mind,"na. 记住；铭记不忘；注意
 考虑到；想到；记得"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
exertion,n. 发挥；运用；努力
specialized,"adj. 专业的；专门的
v. 专攻（specialize的过去分词）；使…专门化；详细说明"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
windsurf,vi. 帆板；风帆冲浪
white-water rafting,乘水筏子
rapids,n.  急流；湍流
bungy-jump,找不到解释
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
skateboard,"n. 溜冰板
vi. 用滑板滑行"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
sky surfing,"n. 空中滑板运动；空中滑翔
 空中冲浪；空中花式滑板"
contestant,n. 竞争者；争辩者
baggy,adj. 袋状的，膨胀的；宽松而下垂的
philosophy,n. 哲学；哲理；人生观
daredevil,"n. 铤而走险的人，蛮勇的人
adj. 蛮勇的，不怕死的"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
recreation,n. 娱乐；消遣；休养
hype,"n. 大肆宣传；皮下注射
vt. 大肆宣传；使…兴奋"
the Nobel Prize,找不到解释
award,"n. 奖品；判决
vt. 授予；判定"
achievement,n. 成就；完成；达到；成绩
physiology,n. 生理学；生理机能
be linked to, 与…有联系；与…有关；与……相联系
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
Nobel Foundation,诺贝尔基金会
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
establishment,n. 确立，制定；公司；设施
start with,"v. 以…开始
 以……开始；从…开始；首先"
call sb. sth.,找不到解释
trade in,"na. 用交换方式购入
 以旧换新；抵价购物；交易"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
put down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
make a mistake,"na. 犯错误
 出错；弄错；犯了一个错误"
all the same,"na. 依然；“all/just the same”的变体
 仍然；还是；尽管如此"
spend time doing sth.,找不到解释
create,vt. 创造，创作；造成
invent,vt. 发明；创造；虚构
weapon,n. 武器，兵器
of one's day,找不到解释
North Pole,找不到解释
at last,"na. 终于
 最后；最终；终於"
do with,"na. 对付；忍耐；与…相处
 处理；处置；需要"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
learn of,"v. 得知；获悉
 听到；获悉…的事；听说"
in the field of, 在…领域；在……方面；在领域的
economics,n. 经济学；国家的经济状况
as a result,"adv. 结果
 因此；结果是；作为结果"
Swedish,"n. 瑞典语；瑞典人
adj. 瑞典的；瑞典语的；瑞典人的"
Caltech,找不到解释
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
phone line, 电话线；电话通道；电话线路传送
Egyptian,"n. 埃及人；古代埃及语
adj. 埃及的；埃及人的"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
reaction,n. 反应，感应；反动，复古；反作用
so what, 那又怎样；那又怎么样；那又怎么样呢
Royal Swedish Academy,找不到解释
groundbreaking,"n. 动工
adj. 开创性的"
chemical,"n. 化学制品，化学药品
adj. 化学的"
atomic,adj. 原子的，原子能的；微粒子的
laser,n. 激光
atom,n. 原子
molecule,n.  分子；微小颗粒，微粒
femtochemistry, 飞秒化学
Swede,n. 瑞典人；瑞典甘蓝
investigation,n. 调查；调查研究
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
alumnus,n. 男校友；男毕业生
tumultuous,adj. 吵闹的；骚乱的；狂暴的
forefront,n. 最前线，最前部；活动的中心
arena,n. 舞台；竞技场
Alexandria University,找不到解释
tenure-track,adj. 终身职位的
PhD,找不到解释
University of Pennsylvania,"n. 宾夕法尼亚大学
 宾州大学；宾西法尼亚大学；美国宾夕法尼亚大学"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
prestigious,adj. 有名望的；享有声望的
postdoctoral,adj. 博士后的；博士学位取得后的
handful,n. 少数；一把；棘手事
dynamics,n. 动力学，力学
professorship,n.  教授职位
breakthrough,n. 突破；突破性进展
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
