shouter,n. 高呼者；喊叫者
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
intersection,n. 交叉；十字路口；交集；交叉点
addiction,n. 上瘾，沉溺；癖嗜
airlift,"n. 空运；空运物资
vt. 空运"
nightly,"adj. 夜间的；每夜的
adv. 每夜"
skinny,"n. 机密情报；内部消息；小道消息
adj. 皮的；皮包骨的；紧身的；小气的"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
yank,n. 美国人（等于Yankee）
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
stomp,"n. 跺脚，重踩；顿足爵士舞
vt. 跺脚，重踩；践踏"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
sapling,n. 树苗；年轻人
ream,"n. 令（纸张的计数单位）；大量
vt. 榨取（果汁等）；扩展；挖"
wield,vt. 使用；行使；挥舞
shovel,"n. 铁铲；一铲的量；铲车
vi. 铲
vt. 铲除；用铲挖；把…胡乱塞入"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
alcohol,n. 酒精，乙醇
squeal,"n. 尖叫声
vt. 告密；长声尖叫
vi. 告密；尖声地说"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
peel,"n. 皮
v. 剥，剥落；削"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
crabgrass,n. 一种杂草
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
clamber,"vt. 爬，攀登
vi. 攀登，爬上
n. 攀登，爬上"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
trellis,"n. 格子；格子结构；框架
vt. 为...搭棚架；使交叉成格子状；使交织"
lemon,"adj. 柠檬色的
n. 柠檬"
apricot,"n. 杏，杏子； 杏树；杏黄色
adj. 杏黄色的"
fig,"n. 无花果；无花果树；少许，一些；无价值的东西；服装
vt. 打扮；使马跑快"
redwood,n. 红木树， 红杉；红树木材
fir,"n. 冷杉；枞木
abbr. 弗京（firkin）"
shipyard,n. 造船厂；船坞；修船厂
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
exemplify,vt. 例证；例示
adage,n. 格言，谚语；箴言
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
vacancy,n. 空缺；空位；空白；空虚
mall,n. 购物商场；林荫路；铁圈球场
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
syringe,"n. 注射器；洗涤器
vt. 注射，冲洗"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
sacredness,n. 神圣；尊崇为神物；受人尊敬
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
inescapable,adj. 不可避免的；逃脱不了的
mutuality,n. 相互关系，相关；亲密
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
wrapper,n. 包装材料； 包装纸；书皮
malt,"n. 麦芽；麦芽酒
adj. 麦芽的；含麦芽的，用麦芽作的
vt. 用麦芽处理"
fortified-wine,找不到解释
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
glove,"n. 手套
vt. 给…戴手套"
dustpan,n. 簸箕
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
ozone,n.  臭氧；新鲜的空气
globally,adv. 全球地；全局地；世界上
global,adj. 全球的；总体的；球形的
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
old-growth,a. old growth的变形
Zen,n. 禅；禅宗；禅宗信徒（等于Zen Buddhism）
gingko,n. 银杏，白果
monk,n. 僧侣，修道士；和尚
adapt,"vi. 适应
vt. 使适应；改编"
thrive,vi. 繁荣，兴旺；茁壮成长
mesh,"n. 网眼；网丝；圈套
vi. 相啮合
vt.  啮合；以网捕捉"
kneel,vi. 跪下，跪
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
at risk,"un. 担风险
 有危险；在危险中；处于危险中"
at risk of,找不到解释
be flooded with, 充斥；充满；被……所淹没
turn round,"na. 旋转；(忽然)转过身来
 转身；转头；转过去"
turn a round,找不到解释
have a hard time,"na. 日子不好过；遭殃
 度过困难时刻；过得困难；做某事很辛苦"
have a difficult time,找不到解释
have a hard time doing ...,找不到解释
have a difficult time doing ...,找不到解释
fall victim to,"v. 受害于
 成为…的牺牲品；成为……的受害者；成为牺牲品"
disapprove of,"v. 不赞成
 不赞同；不同意；反对"
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
run out of,"na. 用光…
 用完；用尽；耗尽"
give up on,"v. 对…不再抱有希望
 对…表示绝望；不抱希望；对…不再期待"
here and now,"na. 就在此时此地
 此时此刻；当下；活在当下"
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
on faith,"un. 丧失对…的信心；盲目地(相信)；一厢情愿
 毫无怀疑地；依赖地；单凭信仰"
trademark,"n. 商标
标志"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
deputy,"n. 代理人，代表
adj. 副的；代理的"
exposure,n. 暴露；曝光；揭露；陈列
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
unfold,"vi. 展开；显露
vt. 打开；呈现"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
extraterrestrial,"n. 天外来客
adj. 地球外的"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
muse,"n. 沉思；冥想
vt. 沉思；沉思地说
vi. 沉思；凝望"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
exotic,adj. 异国的；外来的；异国情调的
biology,n. （一个地区全部的）生物；生物学
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
acceptable,adj. 可接受的；合意的；可忍受的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
unimaginably,adv. 不能想像地；难以理解地
astronomy,n. 天文学
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
detector,n. 探测器；检测器；发现者；侦察器
operationally,"运作上
操作上"
operational,adj. 操作的；运作的
the Milky Way Galaxy,找不到解释
abundance,n. 充裕，丰富
planetary,adj. 行星的
probability,n. 可能性；机率； 或然率
characteristically,adv. 典型地；表示特性地
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
breathtakingly,adv. 惊人地；令人激动地
exhilarating,"adj. 使人愉快的；令人喜欢的；爽快的
v. 使高兴，使兴奋（exhilarate的现在分词形式）"
diversity,n. 多样性；差异
diverse,adj. 不同的；多种多样的；变化多的
lifestyle,"n. 生活方式
保健的"
commerce,n. 贸易；商业；商务
candidate,n. 候选人，候补者；应试者
consideration,n. 考虑；原因；关心；报酬
astronaut,n. 宇航员，航天员；太空旅行者
visitation,n. 访问；探视；视察；正式访问
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
inexpensive,adj. 便宜的
anthropocentric,adj. 以人类为中心的；以人类观点解释宇宙万物的
electromagnetic,adj. 电磁的
spectrum,n. 光谱；频谱；范围；余象
