progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
professor,n. 教授；教师；公开表示信仰的人
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
prove,"vi. 证明是
vt. 证明；检验；显示"
precious,adj. 宝贵的；珍贵的；矫揉造作的
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
person,n. 人；身体；容貌，外表；人称
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
receive,"vt. 收到；接待；接纳
vi. 接收"
rely,vi. 依靠；信赖
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
republic,n. 共和国；共和政体
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
invite,"n. 邀请
vt. 邀请，招待；招致"
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
exit,"n. 出口，通道；退场
vi. 退出；离去"
exhibition,n. 展览，显示；展览会；展览品
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
explain,v. 说明；解释
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
Internet,找不到解释
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
abnormal,adj. 反常的，不规则的；变态的
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
adapt,"vi. 适应
vt. 使适应；改编"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
accumulate,"vt. 积攒
vi. 累积；积聚"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
cooperate,vi. 合作，配合；协力
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
subway,"n. 地铁；地道
vi. 乘地铁"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
unfortunately,adv. 不幸地
unusual,adj. 不寻常的；与众不同的；不平常的
unless,"conj. 除非，如果不
prep. 除…之外"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
discourage,vt. 阻止；使气馁
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
impatient,adj. 焦躁的；不耐心的
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
aspect,n. 方面；方向；形势；外貌
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procedure,n. 程序，手续；步骤
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
liberate,vt. 解放；放出；释放
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
classify,vt. 分类；分等
simplify,vt. 简化；使单纯；使简易
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
quantity,n. 量，数量；大量；总量
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
apology,n. 道歉；谢罪；辩护；勉强的替代物
considerate,adj. 体贴的；体谅的；考虑周到的
adequate,adj. 充足的；适当的；胜任的
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
reasonable,adj. 合理的，公道的；通情达理的
considerable,adj. 相当大的；重要的，值得考虑的
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
available,adj. 可获得的；可购得的；可找到的；有空的
alter,"vt. 改变，更改
vi. 改变；修改"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
additional,adj. 附加的，额外的
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
betrayal,n. 背叛；辜负；暴露
handful,n. 少数；一把；棘手事
painful,adj. 痛苦的；疼痛的；令人不快的
hopefully,adv. 有希望地，有前途地
peaceful,adj. 和平的，爱好和平的；平静的
skillful,adj. 熟练的；巧妙的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
excellent,adj. 卓越的；极好的；杰出的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
astonish,vt. 使惊讶
polish,找不到解释
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
applicant,n. 申请人，申请者；请求者
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
embarrass,vt. 使局促不安；使困窘；阻碍
stadium,n. 体育场；露天大型运动场
museum,n. 博物馆
amuse,vt. 娱乐；消遣；使发笑；使愉快
music,n. 音乐，乐曲
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
immediate,adj. 立即的；直接的；最接近的
nursery,n. 苗圃；托儿所；温床
surgery,n. 外科；外科手术；手术室；诊疗室
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子"
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
army,n. 陆军，军队
weapon,n. 武器，兵器
gun,"n. 枪支；枪状物；持枪歹徒
vt. 向…开枪；开大油门
vi. 用枪射击；加大油门快速前进"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
lung,n. 肺；呼吸器
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
ankle,n. 踝关节，踝
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
forehead,n. 额，前额
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
