a collection of,"un. 收藏的
 集…为一体的；一批；的收藏"
a couple of,"det. 一对
 几个；两个；两三个"
a range of,"det. 一大片；一排
 一系列；一些；一系列的"
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
access to, 接近；进入；通向…的入口
accuse sb. of sth.,找不到解释
adapt to sth.,找不到解释
add to,"na. 增加
 增添；增进；添加"
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
agree with,"na. 适合；赞同；与…一致
 同意；与...一致；同意某人"
aim at,"v. 目的在于
 瞄准；针对；旨在"
aim to do sth.,找不到解释
allow for sth.,找不到解释
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
appeal to sb. to do sth.,找不到解释
apply to do sth.,找不到解释
approve of,"na. 赞成
 赞同；同意；赞赏，同意"
arise from,"v. 从…而得的
 由…引起；起因于；由…产生"
as a result of,"na. (作)为…的结果
 由于；由于…的结果；作为…的结果"
as for,"na. 至于
 关于；就…而言；对于"
as to,"na. 至于；说到
 关于；如此……以便；关于至于"
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
as though,"na. 好像；见 well 条
 仿佛；好象；似乎"
as opposed to,"adv. 相反于
 和…相反；而不是；与…相对"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
as long as,"conj. 只要
 长达；如果；既然"
so long as,"na. 只要；“as/so long as”的变体
 如果；表示只要；只要…就"
ask for,"na. 要(价)；来找
 请求；要求；要求得到"
at all,"na. 全然；究竟
 根本；一点也不；丝毫"
at first,"na. 首先
 起先；最初；起初"
at least,"na. 至少
 最低限度；起码；最少"
at present,"na. 目前
 现在；当今；眼下"
at risk,"un. 担风险
 有危险；在危险中；处于危险中"
at stake,"na. 被赌着；在危险中；利害攸关
 利害攸关；危如累卵；在危急关头"
at the rear of,prep.在...的后面
at will,"na. 任意；随意
 随心所欲；任意地；随意地"
attach importance to,"na. 重视；把重点放在
 十分重视；认为重要；着重于"
be absorbed in,"na. 全神贯注在…；热衷于
 全神贯注于；专心于；一心从事"
be accessible to, 能接近；容易接近的；可进入的
be addicted to,"na. 嗜好
 沉溺于；对……上瘾；沉迷于"
