code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
unwilling,adj. 不愿意的；不情愿的；勉强的
archaeology,"n. 考古学
考古学的"
unfortunate,adj. 不幸的；令人遗憾的；不成功的
fairly,adv. 相当地；公平地；简直
tremendous,adj. 极大的，巨大的；惊人的；极好的
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
appetite,n. 食欲；嗜好
mysterious,adj. 神秘的；不可思议的；难解的
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
substance,n. 物质；实质；资产；主旨
sociologist,n. 社会学家
anxious,adj. 焦虑的；担忧的；渴望的；急切的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
strength,n. 力量；力气；兵力；长处
refinement,n. 精制；文雅； 提纯
sufficient,adj. 足够的；充分的
naked,adj. 裸体的；无装饰的；无证据的；直率的
rescue,"n. 营救；援救；解救
vt. 营救；援救"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
hurricane,n. 飓风，暴风
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
entertainment,n. 娱乐；消遣；款待
fore,"n. 前部；船头
prep. 在前
adj. 以前的；在前部的
adv. 在前面；在船头
int. （打高尔夫球者的叫声）让开！"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
relief,n. 救济；减轻，解除；安慰；浮雕
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
dictation,n. 听写；口述；命令
meaty,adj. 肉的；多肉的；似肉的
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
mechanic,"n. 技工，机修工
adj. 手工的"
assignment,n. 分配；任务；作业；功课
self-sufficient,adj. 自给自足的；极为自负的；过于自信的
separation,n. 分离，分开；间隔，距离； 分居；缺口
so-called,adj. 所谓的；号称的
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
colleague,n. 同事，同僚
organization,n. 组织；机构；体制；团体
destine,vt. 注定；命定；预定
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
naturalist,"n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人
adj. 自然的（等于naturalistic）；自然主义的；博物学的"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
diverse,adj. 不同的；多种多样的；变化多的
applicant,n. 申请人，申请者；请求者
accordingly,adv. 因此，于是；相应地；照著
imprisonment,n. 监禁，关押；坐牢；下狱
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
impatient,adj. 焦躁的；不耐心的
roughly,adv. 粗糙地；概略地
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
statement,n. 声明；陈述，叙述；报表，清单
horizon,n.  地平线；视野；眼界；范围
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
expansion,n. 膨胀；阐述；扩张物
differentiate,"vt. 区分，区别
vi. 区分，区别"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
millimeter,n.  毫米
anticipate,vt. 预期，期望；占先，抢先；提前使用
instinct,"n. 本能，直觉；天性
adj. 充满着的"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
virus,n.  病毒；恶毒；毒害
numerous,adj. 许多的，很多的
repeatedly,adv. 反复地；再三地；屡次地
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
agenda,n. 议程；日常工作事项；日程表
informative,adj. 教育性的，有益的；情报的；见闻广博的
candidate,n. 候选人，候补者；应试者
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
incomplete,adj. 不完全的； 不完备的
Antarctic,找不到解释
necessarily,adv. 必要地；必定地，必然地
unrelated,adj. 无关的，不相干的
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
practically,adv. 实际地；几乎；事实上
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
structural,adj. 结构的；建筑的
unoccupied,adj. 空闲的；没人住的；未占领的；无人占领的
poster,n. 海报，广告；招贴
registration,n. 登记；注册；挂号
density,n. 密度
finalize,"vt. 完成；使结束
vi. 把最后定下来；定案"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
tale,n. 故事；传说；叙述；流言蜚语
species,"n.  物种；种类
adj. 物种上的"
settler,n. 移居者；殖民者
survivor,n. 幸存者；生还者；残存物
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
wide-ranging,adj. 广泛的
marker,n. 记分员；书签；标识物；作记号的人
tuition,n. 学费；讲授
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
exaggeration,n. 夸张；夸大之词；夸张的手法
presidential,adj. 总统的；首长的；统辖的
attitude,n. 态度；看法；意见；姿势
plentiful,adj. 丰富的；许多的；丰饶的；众多的
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
