realm,n. 领域，范围；王国
dweller,n. 居民，居住者
subdue,vt. 征服；抑制；减轻
compel,vt. 强迫，迫使；强使发生
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
climatic,adj. 气候的；气候上的；由气候引起的；受气候影响的
climate,n. 气候；风气；思潮；风土
dependence,n. 依赖；依靠；信任；信赖
live in fear of,找不到解释
imperfect,"n. 未完成体
adj. 有缺点的；未完成的；半过去的；未完成时的
adv. 有瑕疵地；有缺点地"
stubbornly,adv. 顽固地；倔强地
elemental,adj. 基本的；主要的；自然力的；四大要素的（土、水、气、火）
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
civilisation,n. （英）文明（等于civilization）
cut down,"na. 砍倒；削减；减价；夺去…活动力
 减少；缩短；降低"
irreplaceable,adj. 不能替代的，不能调换的
geological,adj. 地质的，地质学的
transformation,n.  转化；转换；改革；变形
show signs of,"un. 看出…的表现；有…迹象
 显示…迹象"
show every sign of,找不到解释
ominous,adj. 预兆的；不吉利的
so-called,adj. 所谓的；号称的
replaceable,adj. 可替换的；可置换的；可放在原处的
biosphere,n. 生物圈
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
substance,n. 物质；实质；资产；主旨
technology,n. 技术；工艺；术语
abundance,n. 充裕，丰富
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
from head to foot,"na. 从头到脚；完全
 全身；浑身；彻头彻尾"
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
output,"n. 输出，输出量；产量；出产
vt. 输出"
toxic,adj. 有毒的；中毒的
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
destruction,n. 破坏，毁灭；摧毁
enterprise,n. 企业；事业；进取心；事业心
as yet,"na. 至今还
 到目前为止；迄今；到那时为止"
universe,n. 宇宙；世界；领域
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
apt,adj. 恰当的；有…倾向的；灵敏的
oriental,"adj. 东方的；东方人的
n. 东方人"
eternal,adj. 永恒的；不朽的
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
gross domestic product,"na. 国内生产总值
 国内生产毛额；本地生产总值；国民生产总值"
per capita,"adj. 每人的；人均的
 按人；拉丁语人均；按人口平均计算"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
life expectancy,"n. 预期寿命；预计存在（或持续）的期限
 平均寿命；平均余命；期望寿命"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
productivity,n. 生产力；生产率；生产能力
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
be better off,"na. 情况更好；更加富有；处境较好
 更富有；境况好起来；境况富裕"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
on average, 平均；平均起来；通常
critic,n. 批评家，评论家；爱挑剔的人
advent,n. 到来；出现；基督降临；基督降临节
groundbreaking,"n. 动工
adj. 开创性的"
prosperity,n. 繁荣，成功
when it comes to, 一谈到；当提到；当谈到
correlation,n.  相关，关联；相互关系
solidly,adv. 坚固地；坚硬地；团结一致地
